N047.24.29.0000016 E000.58.51.9999996 HOP_HAMB

N045.38.03.0000012 E000.07.04.0000008 HOP_HANG

N044.36.45.0000 W001.06.50.0000004 HOP_HARC

N043.37.53.0000004 E000.34.23.9999988 HOP_HAUC

N043.28.57.0000 W001.28.46.9999992 HOP_HBAY

N045.08.08.9999988 W000.39.32.0000004 HOP_HBLA

N044.48.43.9999992 W000.01.04.0000008 HOP_HARG

N044.47.07.0000008 W000.39.38.9999988 HOP_HBHL

N044.49.39.0000 W000.36.16.9999992 HOP_HBOR

N044.48.00.0000 W000.34.27.0000012 HOP_HBO2

N043.13.12.0000 E002.23.43.0000008 HOP_HCAM

N043.33.54.0000 E002.15.36.0000 HOP_HCAS

N046.47.57.9999984 E001.41.51.0000 HOP_HCTX

N046.49.58.0000008 E000.33.24.0000012 HOP_HCTA

N043.01.31.0000008 E001.37.03.0000 HOP_HCHI

N043.42.45.0000 W001.02.25.0000008 HOP_HDAX

N046.09.42.0000012 E001.52.06.9999996 HOP_HGRT

N046.57.33.9999984 E001.59.40.9999992 HOP_HISS

N046.09.32.0000004 W001.08.33.0000 HOP_HLRC

N044.32.40.9999992 W000.14.36.9999996 HOP_HLAN

N046.38.02.0000004 E001.03.30.9999996 HOP_HLBL

N047.07.50.0000016 E001.00.11.0000016 HOP_HLOC

N043.53.35.9999988 W000.29.09.9999996 HOP_HMDM

N046.20.30.0000012 E002.36.33.9999984 HOP_HMTL

N046.18.56.9999988 W000.27.30.9999996 HOP_HNIO

N043.11.44.9999988 W000.37.04.0000008 HOP_HOLO

N043.19.41.0000016 W000.21.02.9999988 HOP_HPAU

N045.11.30.0000012 E000.43.50.9999988 HOP_HPER

N046.33.38.0000016 W000.22.58.0000008 HOP_HPOI

N045.37.59.9999988 W001.03.38.9999988 HOP_HRYN

N045.02.00.9999996 E003.05.12.0000012 HOP_HFLO

N045.44.52.0000008 W000.39.18.0000 HOP_HSTS

N044.54.00.0000 E001.13.23.0000016 HOP_HSAR

N043.36.47.0000016 E001.24.00.0000 HOP_HTPP

N043.33.39.9999996 E001.26.54.9999996 HOP_HTRP
