N043.33.28.5099984 E002.17.27.7850004 P Mil

N043.33.18.6559992 E002.17.18.1970016 Parking

N043.33.14.4020016 E002.17.19.7260008 TWR

N043.33.15.0260004 E002.17.18.9719988 Terminal

N043.33.14.0680008 E002.17.20.3769996 ATS

N043.33.12.2550012 E002.17.22.0560 Hangar

N043.33.14.1000012 E002.17.23.4189996 P6

N043.33.14.0259996 E002.17.22.4679984 P5

N043.33.13.3120008 E002.17.22.7550012 P4

N043.33.15.3839988 E002.17.21.3630 P3

N043.33.14.7750012 E002.17.21.4749996 P2

N043.33.15.5649996 E002.17.20.3489988 P1

N043.33.18.1519992 E002.17.19.6559988 A1

N043.33.17.5449996 E002.17.20.3470008 A2

N043.33.17.2509984 E002.17.19.6929996 A5

N043.33.17.5209984 E002.17.18.6159984 A4

N043.33.16.9440012 E002.17.19.2919992 A3
