N047.13.32.0000016 E005.57.51.9999984 HOP_HBES

N046.46.39.0000 E004.50.30.9999984 HOP_HCSS

N048.04.26.0000004 E007.20.17.0000016 HOP_HCOL

N047.19.17.0000004 E005.04.09.0000012 HOP_HDBO

N047.04.59.9999988 E005.28.22.0000008 HOP_HDOL

N048.10.51.9999996 E006.27.15.9999984 HOP_HEPI

N046.40.33.9999996 E005.33.00.0000 HOP_HLLS

N049.05.03.0000012 E006.14.31.9999992 HOP_HMER

N047.43.31.0000008 E007.20.42.0000 HOP_HMUL

N048.38.40.9999992 E006.09.05.0000004 HOP_HNAB

N048.41.07.0000008 E006.11.33.0000 HOP_HNAN

N046.54.02.0000016 E006.21.34.9999992 HOP_HPON

N049.13.32.9999988 E004.01.06.9999996 HOP_HREM

N049.06.43.9999992 E006.43.18.0000012 HOP_HAVO

N048.15.42.0000012 E007.25.55.9999992 HOP_HSEL

N048.35.35.9999988 E007.42.18.0000 HOP_HAUT

N048.34.32.9999988 E007.44.26.0000016 HOP_HSTR

N047.38.12.9999984 E006.08.13.9999992 HOP_HVES
