N047.02.37.9389984 E005.25.30.2120004 TWR

N047.02.37.9640004 E005.25.31.3809996 Terminal

N047.02.36.5629992 E005.25.27.5350008 Hangars

N047.02.22.4909988 E005.24.56.1909996 Hangars ACB

N047.02.22.7029992 E005.26.07.9230012 Hangar

N047.02.37.6779984 E005.25.33.1200012 1A

N047.02.36.5240004 E005.25.30.7250004 2B

N047.02.36.3410016 E005.25.31.4690016 2E

N047.02.35.7619992 E005.25.30.4770 2W

N047.02.35.3640012 E005.25.29.1770004 3E

N047.02.34.8259992 E005.25.28.0560 3W

N047.02.36.1280004 E005.25.26.9969988 OPS

N047.02.35.0930004 E005.25.31.2080016 P-Aviation Commerciale

N047.02.34.6380 E005.25.26.7279996 45E

N047.02.34.4150016 E005.25.27.1539984 44E

N047.02.34.1210004 E005.25.27.4860012 43E

N047.02.33.7599996 E005.25.27.7849992 42E

N047.02.33.5469984 E005.25.28.0200 41E

N047.02.34.0249992 E005.25.25.4719992 45W

N047.02.33.7359984 E005.25.25.7710008 44W

N047.02.33.4759992 E005.25.26.1519996 43W

N047.02.33.1249992 E005.25.26.5220004 42W

N047.02.32.9169984 E005.25.26.7049992 41W

N047.02.32.8080012 E005.25.27.7979988 P-Aviation Generale code A, B

N047.02.33.1519992 E005.25.23.3159988 C

N047.02.33.2909988 E005.25.25.1950008 53E

N047.02.32.8719984 E005.25.25.6879992 52E

N047.02.32.4260016 E005.25.26.0770008 51E

N047.02.32.7739992 E005.25.24.1489992 53W

N047.02.32.3599992 E005.25.24.5370 52W

N047.02.31.9499988 E005.25.25.0899996 51W

N047.02.32.5290012 E005.25.23.5279992 63E

N047.02.32.0750016 E005.25.24.0549996 62E

N047.02.31.6659984 E005.25.24.5600004 61E

N047.02.32.0920008 E005.25.22.6989984 63W

N047.02.31.6590 E005.25.23.1620016 62W

N047.02.31.2299988 E005.25.23.6409996 61W

N047.02.33.3250008 E005.25.22.6580016 AVT

N047.02.33.0529992 E005.25.21.3099996 Hangars

N047.02.31.4160 E005.25.25.2390 P-Aviation Generale code A
