N045.12.56.3220 E005.50.46.4970012 H

N045.12.52.8270012 E005.50.45.9560004 P-HEL

N045.12.56.9390004 E005.50.53.9130012 Terminal

N045.12.59.8380012 E005.50.57.5250 Hangar

N045.12.59.5990008 E005.50.52.3359996 P-Herbe

N045.13.02.5989996 E005.51.00.4669992 TWR

N045.12.58.2950016 E005.50.53.2320 P

N045.13.06.6119988 E005.51.04.5990 P

N045.13.09.3659988 E005.50.42.5230008 Hangars Planeurs

N045.13.07.1550012 E005.51.08.8359984 Hangars

N045.13.08.7110004 E005.51.08.4600 AVT

N045.12.54.1310004 E005.50.49.6309992 AVT
