N049.32.00.6429984 E000.05.41.6420016 TWR

N049.31.56.9269992 E000.05.41.9060004 ACB

N049.31.53.2959996 E000.05.32.3180016 Terminal

N049.31.50.3310 E000.05.30.0500016 Hangars

N049.32.09.3540012 E000.05.48.8100012 H

N049.32.10.1630004 E000.05.49.2839988 Douanes

N049.32.05.7999984 E000.05.47.2350012 H

N049.32.06.4029984 E000.05.47.3110008 Protection Civile

N049.31.57.7670016 E000.05.36.4999992 D1

N049.31.57.1689984 E000.05.37.0410 D2

N049.31.56.6079996 E000.05.37.5200016 D3

N049.31.56.6320008 E000.05.33.4169988 C1

N049.31.56.0780004 E000.05.33.9569988 C2

N049.31.55.5290004 E000.05.34.4609988 C3

N049.31.57.2450016 E000.05.32.9250012 B2

N049.31.56.6479992 E000.05.31.2860004 B1

N049.31.54.9869988 E000.05.28.6879992 B

N049.31.53.3390016 E000.05.28.1659992 H

N049.31.54.6489984 E000.05.26.4239988 A
