N048.25.27.0000012 E000.04.57.0000 HOP_HALE

N047.29.11.0000004 W000.33.15.0000012 HOP_HACH

N048.41.40.9999992 W001.21.03.9999996 HOP_HAVR

N048.24.11.9999988 W004.31.45.9999984 HOP_HBRE

N046.51.15.0000012 W001.49.50.0000016 HEL_HCHL

N047.02.29.0000004 W000.53.49.9999992 HOP_HCHO

N048.49.36.9999984 W001.34.09.9999984 HOP_HGRV

N046.40.05.9999988 W001.24.47.9999988 HOP_HROC

N048.43.22.0000008 W000.27.55.0000008 HOP_HLNN

N048.01.00.0000012 E000.10.23.9999988 HOP_HLMA

N047.45.12.9999996 W003.21.21.9999996 HOP_HLOR

N047.12.32.0000004 W001.33.15.9999984 HOP_HNQM

N046.49.53.0000004 W000.23.09.9999996 HOP_HNDS

N047.59.07.0000008 W004.05.44.9999988 HOP_HQUI

N048.07.23.0000016 W001.41.45.9999996 HOP_HREP

N048.29.26.9999988 W002.45.02.9999988 HOP_HSTB

N048.38.17.0000016 W002.00.32.0000004 HOP_HSTM

N047.16.01.9999992 W002.15.23.0000004 HOP_HSTN

N047.39.50.0000004 W002.44.40.9999992 HOP_HVAN
