N044.10.32.2399992 E000.35.48.0789996 ACB
N044.10.30.1959984 E000.35.47.2149996 D1
N044.10.30.5789988 E000.35.47.4780012 D2
N044.10.30.9429984 E000.35.47.6599992 D3
N044.10.30.6869988 E000.35.44.4469992 C1
N044.10.31.1120004 E000.35.44.7209988 C2
N044.10.31.5379992 E000.35.44.9199996 C3
N044.10.31.9429992 E000.35.45.1830012 C4
N044.10.31.2189996 E000.35.42.4749984 B1
N044.10.31.8389988 E000.35.42.8200008 B2
N044.10.32.5650 E000.35.38.3480016 A1
N044.10.31.8420012 E000.35.40.7780016 A3
N044.10.33.3069996 E000.35.39.9900012 A2
N044.10.36.9440004 E000.35.31.7829984 N1
N044.10.37.3919988 E000.35.32.0169984 N2
N044.10.35.1739992 E000.35.37.2369984 TWR
N044.10.34.5669996 E000.35.38.5559988 Terminal
