N044.49.52.5590004 W000.42.16.8509988 A5

N044.49.53.4579996 W000.42.16.2569988 A6

N044.49.54.2219988 W000.42.14.7030012 A7

N044.49.54.8069988 W000.42.13.6980 A8

N044.49.55.9909992 W000.42.12.0759984 A9

N044.49.56.8599996 W000.42.11.3450004 A10

N044.49.57.7440012 W000.42.09.5870016 A11

N044.49.59.5200 W000.42.05.8500 Y01

N044.50.02.8799988 W000.42.01.1199996 Y02

N044.49.59.9610 W000.42.07.4850012 Y11

N044.50.01.0250016 W000.42.07.4160 Y12

N044.50.01.7999988 W000.42.04.3200 Y13

N044.50.02.3499996 W000.42.02.0400012 Y21

N044.50.03.5099988 W000.42.00.2099988 Y22

N044.50.03.8400 W000.42.02.0000016 Y2A

N044.49.50.2899996 W000.42.16.7289984 B5

N044.49.50.9130012 W000.42.18.7610004 B5R

N044.49.50.0599992 W000.42.19.8720 B4R

N044.49.49.4649984 W000.42.20.7200016 B4

N044.49.48.6689988 W000.42.21.8900016 B3R

N044.49.48.1130004 W000.42.22.7090016 B3

N044.49.47.4129984 W000.42.22.7530008 B2R

N044.49.47.0579988 W000.42.23.2350012 B1R

N044.49.45.8690016 W000.42.22.4309988 B1

N044.49.45.3799992 W000.42.20.6470008 B6

N044.49.45.9360012 W000.42.18.6149988 B7

N044.49.46.3199988 W000.42.17.8110 B7R

N044.49.47.1159984 W000.42.16.8900012 B8

N044.49.47.2019988 W000.42.15.8670 B8R

N044.49.48.1519992 W000.42.14.6819988 B9R

N044.49.48.5060016 W000.42.13.7469996 B9

N044.49.47.5929984 W000.42.10.8200016 C1

N044.49.46.8289992 W000.42.10.1350008 C2

N044.49.46.1550 W000.42.08.7639984 C3

N044.49.45.2259984 W000.42.07.8050016 C4

N044.49.44.7309984 W000.42.05.8860 C6

N044.49.44.2970004 W000.42.03.5100 D1

N044.49.43.3679988 W000.42.01.8889992 D2

N044.49.42.8430 W000.41.59.6040 D3

N044.49.42.4089984 W000.41.57.5250 D4

N044.49.42.2289984 W000.41.54.8070 D5

N044.49.42.4239996 W000.41.52.3629996 D6

N044.49.40.7300016 W000.41.46.5600012 F1

N044.49.38.7530004 W000.41.47.9770008 F2

N044.49.37.0740 W000.41.48.8680008 F3

N044.50.11.0140008 W000.41.53.9990016 J11

N044.50.10.5280008 W000.41.53.3230008 J12

N044.50.10.0309992 W000.41.52.6610004 J13

N044.50.11.9990004 W000.41.52.5819984 J21

N044.50.11.5209996 W000.41.51.8840016 J22

N044.50.11.0439996 W000.41.51.2070 J23

N044.50.13.0269984 W000.41.51.0910008 J31

N044.50.12.5250 W000.41.50.4319992 J32

N044.50.12.0779988 W000.41.56.6679984 K1

N044.50.13.0200 W000.41.55.2379992 K2

N044.50.13.9650 W000.41.53.8699992 K3

N044.50.14.9240004 W000.41.52.4850 K4

N044.49.45.5030004 W000.41.44.5229988 CARGO

N044.49.14.5350012 W000.42.24.6390012 M

N044.50.19.7319984 W000.42.54.7639992 ZERO G
