N044.49.19.8329988 E000.30.36.2769984 P-Aviation Generale

N044.49.20.6040 E000.30.46.4079996 Terminal

N044.49.20.6259996 E000.30.52.7439996 TWR

N044.49.19.0760016 E000.31.02.0120016 Air CD

N044.49.20.3909988 E000.30.42.9369984 ACB

N044.49.20.3170008 E000.30.40.1770008 RFFS

N044.49.21.2930004 E000.30.37.2039984 C3

N044.49.23.0670012 E000.30.38.5449984 C2

N044.49.23.0419992 E000.30.40.6680012 C1

N044.49.21.8769996 E000.30.41.6180016 B2

N044.49.21.3480012 E000.30.41.6289996 B1

N044.49.22.8029988 E000.30.43.0599996 A4

N044.49.22.3290012 E000.30.42.9649992 A3

N044.49.21.8939988 E000.30.42.8990004 A2

N044.49.21.3819996 E000.30.42.9170004 A1

N044.49.20.4570012 E000.30.58.5979992 P-Aviation Commerciale

N044.49.20.6220 E000.30.44.7540012 Hangars

N044.49.21.6789996 E000.30.52.0840008 D1

N044.49.22.3029984 E000.30.55.0900008 D2

N044.49.21.2139984 E000.30.58.1220 D3

N044.49.22.1599992 E000.30.57.6879984 D31

N044.49.21.9119988 E000.31.01.7240016 D4
