N045.39.45.8560008 W000.18.06.8429988 A
N045.39.38.7209988 W000.18.32.4460008 F
N045.39.37.1180016 W000.18.24.9490008 B
N045.39.26.7300 W000.18.24.0249996 R
N045.39.22.5780012 W000.18.32.5010016 Q
N045.39.16.0580016 W000.18.59.9069988 C
N045.39.15.3060012 W000.19.12.3009996 E
N045.38.58.9359984 W000.19.27.4959984 D
N045.39.26.8040016 W000.19.05.8490004 H
N045.39.36.3539988 W000.18.54.7290 G
N045.39.37.4389992 W000.19.11.1969984 J
N045.39.37.9959984 W000.19.21.9780012 K
N045.39.51.0260004 W000.18.54.4320 M
N045.39.58.9320 W000.18.32.8280004 N
N045.39.52.8909984 W000.18.19.3299984 P
N045.39.46.5950016 W000.19.22.7570016 L
N045.39.47.5819992 W000.19.24.6339984 X
N045.39.47.1070008 W000.19.25.2050016 X
N045.39.46.7190 W000.19.25.5929988 X
N045.39.44.0560008 W000.19.25.8240 X
N045.39.44.4780 W000.19.25.8809988 X
N045.39.45.0190008 W000.19.26.1419988 X
