N046.35.16.0550016 E000.18.40.9650012 G1
N046.35.15.5739984 E000.18.42.1679988 G2
N046.35.15.0839988 E000.18.43.4090016 G3
N046.35.14.6119992 E000.18.44.1360 G4
N046.35.15.1469988 E000.18.40.2120 G5
N046.35.14.6749992 E000.18.41.4010008 G6
N046.35.14.1669996 E000.18.42.6300012 G7
N046.35.13.7400 E000.18.43.7130 G8
N046.35.15.6009984 E000.18.40.5560016 H1
N046.35.15.0839988 E000.18.41.7980016 H2
N046.35.14.6119992 E000.18.42.9999984 H3
N046.35.14.0579988 E000.18.44.0039988 H4
N046.35.14.7390 E000.18.44.5979988 H8
N046.35.07.0299996 E000.18.35.3319984 P1
N046.35.08.0090016 E000.18.36.0960012 P2
N046.35.08.9880 E000.18.35.3729988 P3
N046.35.10.6760004 E000.18.36.7769988 P4
N046.35.12.4630008 E000.18.38.2010004 P5
N046.35.05.0100 E000.18.35.4229992 S1
N046.35.04.1679996 E000.18.36.4060008 S2
N046.35.03.9570 E000.18.37.1769984 S3
N046.35.03.5649996 E000.18.37.6629984 S4
N046.35.03.1440012 E000.18.38.1179988 S5
N046.35.02.6859984 E000.18.38.5089984 S6
N046.35.02.2869996 E000.18.39.0160008 S7
N046.35.01.8949992 E000.18.39.5229996 S8
N046.35.01.5100008 E000.18.40.0309992 S9
N046.35.00.1719996 E000.18.40.4589996 ACB
N046.35.40.5870 E000.18.28.1220012 Usine
