N046.34.47.5669992 E000.18.01.4510016 03

N046.35.51.0870012 E000.18.55.8920016 21

N046.34.58.0580004 E000.18.01.6800012 03L

N046.34.54.6759984 E000.18.15.2619984 03R

N046.35.05.4980016 E000.18.24.5139984 21L

N046.35.32.0820 E000.18.30.9120012 21R

N046.35.12.1229988 E000.18.32.8970016 A

N046.35.15.2350008 E000.18.21.5790012 B

N046.35.08.5700004 E000.18.32.0929992 C

N046.35.35.3919984 E000.18.31.3229988 D

N046.35.14.2659996 E000.18.38.8980 A1

N046.35.09.3239988 E000.18.32.4799992 A2

N046.35.05.5560012 E000.18.34.6410 A3
