N045.51.34.0970004 E001.10.29.7090012 ACB
N045.51.36.6260004 E001.10.33.7699992 1L
N045.51.36.9020016 E001.10.33.2259996 2L
N045.51.37.1779992 E001.10.32.6480016 3L
N045.51.35.2040004 E001.10.35.5969992 Pélicandrome
N045.51.39.9219984 E001.10.36.9310008 1A
N045.51.41.7430008 E001.10.38.6659992 2A
N045.51.43.6629996 E001.10.40.3550004 3A
N045.51.44.9460 E001.10.41.9260008 1T
N045.51.47.0450016 E001.10.44.8010004 1P
N045.51.46.8669996 E001.10.43.9680 2P
N045.51.47.3990004 E001.10.43.5789984 3P
N045.51.47.4680016 E001.10.42.7590012 4P
N045.51.47.9999988 E001.10.42.6200016 5P
