COLOR_GrasSurface
N043.39.01.5549984 E001.20.22.2290016
N043.39.01.1350008 E001.20.21.6290004
N043.38.59.5730004 E001.20.20.2930008
N043.38.55.0740012 E001.20.16.5279984
N043.38.50.5560012 E001.20.20.7340008
N043.38.48.4010016 E001.20.22.7429988
N043.38.46.5290016 E001.20.24.4970016
N043.38.46.4300016 E001.20.24.3260016
N043.38.45.3840 E001.20.22.2069984
N043.38.43.6049988 E001.20.18.0380004
N043.38.42.4160016 E001.20.18.9729996
N043.38.40.9580016 E001.20.15.6750
N043.38.40.5790008 E001.20.15.8979984
N043.38.40.3479996 E001.20.16.1149992
N043.38.40.0890012 E001.20.16.3650012
N043.38.39.8600016 E001.20.16.6250004
N043.38.39.5760012 E001.20.16.9959984
N043.38.39.2910 E001.20.17.3529996
N043.38.38.9670 E001.20.17.8019988
N043.38.38.7380004 E001.20.18.2220
N043.38.38.6210004 E001.20.18.4859988
N043.38.38.0230008 E001.20.19.7369988
N043.38.36.7860012 E001.20.22.2630
N043.38.39.6120012 E001.20.27.6910008
N043.38.36.9690 E001.20.30.3619992
N043.38.37.3719984 E001.20.31.1150004
N043.38.36.9510 E001.20.31.4279988
N043.38.36.4369992 E001.20.31.7659992
N043.38.35.9599992 E001.20.32.1219996
N043.38.35.4919992 E001.20.32.4930012
N043.38.35.1120012 E001.20.32.8160004
N043.38.34.5450012 E001.20.33.4010004
N043.38.30.8209992 E001.20.37.2940008
N043.38.27.9399984 E001.20.40.2879984
N043.38.26.6430012 E001.20.41.6400
N043.38.24.4010004 E001.20.43.9689984
N043.38.23.0790012 E001.20.45.3400008
N043.38.21.8820012 E001.20.46.5889992
N043.38.20.5320012 E001.20.48.0099984
N043.38.19.4460 E001.20.49.1280
N043.38.18.8450016 E001.20.49.7569992
N043.38.18.1759992 E001.20.50.4570012
N043.38.16.3790016 E001.20.52.3290012
N043.38.16.2440016 E001.20.52.1940012
N043.38.15.9560016 E001.20.52.4410008
N043.38.15.4250016 E001.20.51.9230004
N043.38.14.6450004 E001.20.51.1800
N043.38.13.4049984 E001.20.49.9740
N043.38.12.1040016 E001.20.48.7320
N043.38.11.3719992 E001.20.48.0310008
N043.38.10.7170008 E001.20.47.4219996
N043.38.10.1889996 E001.20.46.4529984
N043.38.08.4770016 E001.20.46.4460
N043.38.08.3619996 E001.20.47.9659992
N043.38.04.7469984 E001.20.47.0420016
N043.38.04.7969988 E001.20.46.6609992
N043.38.04.5859992 E001.20.46.5600012
N043.38.04.3839996 E001.20.46.4300016
N043.38.04.1849988 E001.20.46.2540012
N043.38.04.0719984 E001.20.46.0520016
N043.38.03.9580008 E001.20.45.7940004
N043.38.03.8249988 E001.20.45.4189992
N043.38.03.7950 E001.20.45.0870
N043.38.03.7809996 E001.20.44.7749988
N043.38.03.8400 E001.20.44.4379992
N043.38.03.9590016 E001.20.44.0890008
N043.38.04.1660016 E001.20.43.6819992
N043.38.04.4270016 E001.20.43.2129984
N043.38.04.6340016 E001.20.42.7999992
N043.38.04.7330016 E001.20.42.5730012
N043.38.04.8030 E001.20.42.3150
N043.38.04.8699996 E001.20.41.9960004
N043.38.04.9239996 E001.20.41.6140008
N043.38.04.9419996 E001.20.41.2720008
N043.38.04.8919992 E001.20.40.9560
N043.38.04.7079996 E001.20.40.6290012
N043.38.04.4090016 E001.20.40.3779984
N043.38.03.8730012 E001.20.40.0689996
N043.38.03.2390016 E001.20.39.7039992
N043.38.03.0530004 E001.20.39.6150
N043.38.02.3160012 E001.20.39.2539992
N043.38.01.8089988 E001.20.39.0270012
N043.38.01.3319988 E001.20.38.8169988
N043.38.01.0520016 E001.20.38.7139992
N043.38.00.7829988 E001.20.38.6279988
N043.38.00.4449984 E001.20.38.5289988
N043.38.00.0440016 E001.20.38.4410004
N043.37.59.7519984 E001.20.38.3809992
N043.37.59.0409984 E001.20.38.3250012
N043.37.59.0919996 E001.20.40.4520
N043.37.58.5390 E001.20.41.0780004
N043.37.58.3359996 E001.20.40.8620004
N043.37.57.6770016 E001.20.41.5179996
N043.37.57.7700004 E001.20.41.9910
N043.37.57.7220016 E001.20.42.2739996
N043.37.57.3729996 E001.20.42.5550012
N043.37.56.9700012 E001.20.42.8120016
N043.37.57.0810 E001.20.46.2400008
N043.37.57.2949984 E001.20.46.2310008
N043.37.58.5829992 E001.20.48.5919996
N043.37.58.6130016 E001.20.48.7960008
N043.37.57.9709992 E001.20.52.6980012
N043.37.58.1739996 E001.20.52.7579988
N043.37.58.7390016 E001.20.53.7699984
N043.37.56.7549984 E001.20.55.8520008
N043.37.56.1650016 E001.20.54.7649988
N043.37.54.4749996 E001.20.56.5050012
N043.37.53.7330 E001.20.56.5810008
N043.37.53.5329984 E001.20.56.6130012
N043.37.53.3049996 E001.20.56.6790
N043.37.53.2200 E001.20.56.7470004
N043.37.49.9980 E001.21.00.0830016
N043.37.49.2750012 E001.21.00.8160012
N043.37.47.6670 E001.21.02.4900012
N043.37.46.8720012 E001.21.03.3210
N043.37.44.5829988 E001.21.03.4139988
N043.37.44.5310004 E001.21.03.3819984
N043.37.44.5059984 E001.21.03.3099984
N043.37.44.4360 E001.21.00.1850004
N043.37.42.1370004 E001.21.00.3009996
N043.37.41.7709992 E001.20.47.9739984
N043.37.34.5920016 E001.20.48.3529992
N043.37.34.5129996 E001.20.48.4779984
N043.37.34.5669996 E001.20.50.3739996
N043.37.34.1649984 E001.20.50.3679984
N043.37.34.1789988 E001.20.50.9989992
N043.37.33.9260016 E001.20.51.2720016
N043.37.34.0929984 E001.20.56.9940
N043.37.33.9470004 E001.20.57.0140016
N043.37.33.9980016 E001.20.59.0629992
N043.37.31.4619996 E001.20.59.2289988
N043.37.31.2700008 E001.20.52.6869996
N043.37.31.4389992 E001.20.52.2250008
N043.37.31.3929984 E001.20.50.5380012
N043.37.29.3980008 E001.20.50.6079996
N043.37.29.3909988 E001.20.50.2360008
N043.37.29.2159992 E001.20.50.2360008
N043.37.29.1889992 E001.20.49.0049988
N043.37.28.6590 E001.20.49.0369992
N043.37.28.6500 E001.20.48.7020012
N043.37.26.5050012 E001.20.48.8100012
N043.37.26.0969988 E001.20.49.2079992
N043.37.26.1580008 E001.20.49.3159992
N043.37.25.9550004 E001.20.49.5189996
N043.37.25.8849984 E001.20.49.3929996
N043.37.22.1360016 E001.20.53.1150
N043.37.20.2360008 E001.20.49.4800008
N043.37.18.9649992 E001.20.48.1200
N043.37.16.8750012 E001.20.50.1230004
N043.37.15.2690016 E001.20.49.8490008
N043.37.14.9419992 E001.20.50.3189988
N043.37.15.0669984 E001.20.50.7030
N043.37.15.0880008 E001.20.50.9420004
N043.37.14.9490012 E001.20.53.2569984
N043.37.15.9489984 E001.20.55.5429984
N043.37.15.7810008 E001.20.56.2099992
N043.37.14.1909996 E001.20.57.5300004
N043.37.15.3829992 E001.21.01.0919988
N043.37.12.7369992 E001.20.59.7840
N043.37.12.2919996 E001.20.59.6240016
N043.37.12.0690012 E001.20.59.4089988
N043.37.10.8869988 E001.21.01.4370012
N043.37.09.3910008 E001.21.00.9979992
N043.37.08.4920016 E001.21.00.7120008
N043.37.05.3130 E001.20.59.7900012
N043.37.03.3790008 E001.20.59.2389996
N043.37.03.0360 E001.21.01.4820012
N043.37.02.4139992 E001.21.05.4399996
N043.37.00.1530012 E001.21.04.8279996
N043.37.00.0339996 E001.21.05.4910008
N043.36.56.6979984 E001.21.04.4600004
N043.36.56.6340012 E001.21.04.7400012
N043.36.56.0630016 E001.21.04.5690012
N043.36.55.0559988 E001.21.10.9000008
N043.36.52.4940012 E001.21.10.2039984
N043.36.51.5180016 E001.21.16.8980004
N043.36.49.3940016 E001.21.16.6920012
N043.36.48.0260016 E001.21.16.2780012
N043.36.47.9369988 E001.21.16.3149984
N043.36.47.5949988 E001.21.17.1910008
N043.36.47.3839992 E001.21.17.7630012
N043.36.47.1880008 E001.21.18.3250008
N043.36.46.9820016 E001.21.19.0159992
N043.36.46.7079984 E001.21.20.0660004
N043.36.46.3939992 E001.21.21.3500016
N043.36.46.2729996 E001.21.21.6830016
N043.36.46.1999988 E001.21.21.7850004
N043.36.46.1369988 E001.21.22.0389984
N043.36.45.8849988 E001.21.22.1379984
N043.36.45.6779988 E001.21.22.0979988
N043.36.43.8099984 E001.21.20.8260
N043.36.41.5990008 E001.21.19.3330008
N043.36.40.3620012 E001.21.19.0170
N043.36.39.6860004 E001.21.18.8430012
N043.36.36.5879988 E001.21.18.0389988
N043.36.34.7429988 E001.21.17.7750
N043.36.34.0570008 E001.21.19.0509984
N043.36.33.9189984 E001.21.20.6039988
N043.36.32.9460012 E001.21.45.1620
N043.36.32.5400004 E001.21.52.8980004
N043.36.32.4309996 E001.22.01.6280004
N043.36.32.4230004 E001.22.05.1420
N043.36.32.4789984 E001.22.06.6920016
N043.36.32.6239992 E001.22.08.1469992
N043.36.32.8960008 E001.22.09.6160008
N043.36.33.2830008 E001.22.11.0529984
N043.36.33.7780008 E001.22.12.4150008
N043.36.34.7600016 E001.22.14.6529984
N043.36.35.7980004 E001.22.17.0760
N043.36.36.0990 E001.22.17.7830004
N043.36.36.2180016 E001.22.18.2309988
N043.36.36.4299984 E001.22.18.9429996
N043.36.36.4370004 E001.22.18.9490008
N043.36.36.6570 E001.22.19.4559996
N043.36.36.8750016 E001.22.19.6960008
N043.36.37.1689992 E001.22.19.9089984
N043.36.38.2460004 E001.22.20.2180008
N043.36.39.9489984 E001.22.20.5860
N043.36.39.9909996 E001.22.19.7109984
N043.36.40.8030012 E001.22.19.7979996
N043.36.40.8660012 E001.22.18.8709996
N043.36.46.2300012 E001.22.19.4009988
N043.36.45.0889992 E001.22.24.4729992
N043.36.44.8239996 E001.22.25.4290008
N043.36.45.1919988 E001.22.40.8470016
N043.36.44.8049988 E001.22.43.1540004
N043.36.44.5770 E001.22.43.6400004
N043.36.44.9600004 E001.22.44.6289996
N043.36.45.3800016 E001.22.46.7879988
