N043.36.55.7219988 E001.23.11.2160004 H
N043.38.49.1780004 E001.21.22.8160008 J1
N043.38.50.7530004 E001.21.36.7380 J2
N043.39.14.4709992 E001.21.20.2119984 J3
N043.39.00.3920004 E001.21.10.4270004 J4
N043.39.13.1799996 E001.21.01.0000008 J5
N043.38.56.1320016 E001.21.14.9140008 L1
N043.38.57.2010 E001.21.29.7370008 L2
N043.37.12.6580008 E001.22.22.5530004 M2
N043.37.30.0349992 E001.22.05.9059992 M4
N043.38.12.5070 E001.21.20.1629988 M8
N043.38.29.9360004 E001.21.01.9779984 M10
N043.38.40.2280008 E001.20.53.7380016 M11
N043.37.00.8519988 E001.22.51.3059988 N1
N043.37.18.4280016 E001.22.32.5790004 N2
N043.37.31.6189992 E001.22.18.7070016 N4
N043.37.50.7270 E001.21.58.0420008 N6
N043.38.17.5899984 E001.21.29.2489992 N8
N043.37.10.3820016 E001.22.45.3200016 P10
N043.37.25.7559996 E001.22.29.5860 P20
N043.37.36.9390 E001.22.17.6610 P40
N043.37.43.5450 E001.22.10.8990012 P50
N043.37.48.4470012 E001.22.05.6550 P55
N043.37.53.9919984 E001.21.59.9760 P60
N043.37.58.8839988 E001.21.54.7880004 P65
N043.38.08.9440008 E001.21.44.4250008 P70
N043.38.26.4779988 E001.21.26.2680012 P90
N043.38.38.4399996 E001.21.13.8160008 P100
N043.38.42.2360016 E001.21.02.9049984 P101
N043.37.05.0319984 E001.22.16.9269996 S2
N043.37.12.0839988 E001.22.09.9249996 S3
N043.37.33.5899992 E001.21.47.2600008 S4
N043.37.51.5570016 E001.21.28.6300008 S6
N043.38.08.1980016 E001.21.11.3540004 S8
N043.38.25.3399992 E001.20.53.0599992 S10
N043.38.34.1120004 E001.20.43.4600016 S11
N043.37.03.1590012 E001.22.08.8140 S20
N043.37.06.6540 E001.22.04.9440 S30
N043.37.15.3350004 E001.21.56.8080 S32
N043.37.18.1719984 E001.21.53.8499988 S35
N043.37.18.6390012 E001.21.39.5520012 S35
N043.37.20.8009992 E001.21.25.5030012 S35
N043.37.28.8570 E001.21.43.6799988 S40
N043.37.33.6399996 E001.21.38.5670016 S50
N043.37.47.2500012 E001.21.23.9500008 S60
N043.37.51.4899984 E001.21.01.2099996 S60
N043.38.11.4159984 E001.20.59.3139984 S90
N043.37.05.7900 E001.22.53.4860004 T10
N043.37.08.6639988 E001.22.55.0369992 T11
N043.37.09.8519988 E001.22.51.7239984 T12
N043.37.21.6940008 E001.22.40.8259992 T20
N043.37.24.6309996 E001.22.37.7209992 T21
N043.37.29.8160004 E001.22.30.5730012 T22
N043.37.33.4430004 E001.22.26.7769992 T40
N043.37.38.0290008 E001.22.28.3559988 T41
N043.37.36.5760012 E001.22.33.1479984 T42
N043.37.41.4469992 E001.22.28.1960004 T43
N043.37.39.9969984 E001.22.32.6889984 T44
N043.37.43.2440004 E001.22.16.5870012 T50
N043.37.47.4210012 E001.22.18.3240012 T51
N043.37.46.5309984 E001.22.10.6520016 T55
N043.37.51.8679984 E001.22.04.7409996 T60
N043.37.49.9550016 E001.22.10.7079996 T61
N043.37.57.4579992 E001.21.59.3619984 T65
N043.38.03.3820008 E001.21.56.9430 T70
N043.37.56.1460008 E001.22.04.1450016 T71
N043.38.00.6640008 E001.22.06.3930 T81
N043.38.39.0599988 E001.21.23.3600004 T100
N043.38.44.1120012 E001.21.13.0650012 T101
N043.37.04.4100012 E001.23.02.3499996 TH
N043.37.06.5169984 E001.22.10.2309996 W20
N043.37.13.3250016 E001.22.03.1770012 W30
N043.37.24.4760016 E001.21.51.5660004 W35
N043.37.32.4710004 E001.21.43.2640008 W40
N043.37.40.8240012 E001.21.34.5669984 W50
N043.37.55.8950016 E001.21.18.7059996 W60
N043.38.09.2780016 E001.21.04.7610 W80
N043.38.17.0520 E001.20.56.7279996 W90
N043.38.28.6469988 E001.20.44.6359992 W100
N043.37.25.5100008 E001.21.12.8300004 Y30
N043.37.30.7300008 E001.21.16.5700008 Y35
N043.37.37.8599988 E001.21.21.4099992 Y35
N043.37.36.1300008 E001.21.02.3199984 Y40
N043.37.35.8929984 E001.21.33.1110 Y50
N043.37.42.5979984 E001.21.23.3730 Y50
N043.37.57.1400004 E001.21.10.5500016 Y60
N043.37.07.9160016 E001.21.56.5160004 Z1
N043.36.58.2909984 E001.21.58.8530016 Z1
N043.37.08.1500016 E001.21.44.7869988 Z2
N043.37.08.6270016 E001.21.33.4379988 Z3
N043.36.51.5099988 E001.21.32.3300016 Z3
N043.37.01.2600012 E001.21.38.7309996 Z4
N043.37.12.5810004 E001.21.25.7799996 Z5
N043.37.05.5800012 E001.21.15.1099992 Z6
N043.36.56.6700012 E001.21.38.9400012 Z7
N043.36.45.9299988 E001.21.42.0000012 Z8
N043.36.40.9500 E001.21.27.9200016 Z9
N043.38.44.9480004 E001.20.57.6930012 X
N043.38.31.9779996 E001.21.12.3059988 X
N043.38.29.0249988 E001.21.17.8710012 X
N043.38.24.6779988 E001.21.24.3110016 X
N043.38.20.7399984 E001.21.30.2510016 X
N043.37.11.2770012 E001.22.51.9060 X
N043.37.09.9639984 E001.22.53.7809988 X
N043.36.54.9129996 E001.22.46.2780012 X
N043.36.50.7700008 E001.22.42.2770008 X
N043.36.47.2020012 E001.22.39.6509988 X
N043.36.49.5399996 E001.22.37.7119992 X
