N043.23.14.7660 W000.25.58.2740004 13

N043.22.28.9319988 W000.24.31.1330016 31

N043.23.09.3080004 W000.25.40.3929984 N5

N043.23.00.4750008 W000.25.17.3629992 NW

N043.22.54.7520016 W000.25.06.5380008 NG

N043.22.49.3799988 W000.25.02.3649996 N3

N043.22.41.0620008 W000.24.40.3120008 NE

N043.22.32.3060016 W000.24.28.7629992 N1

N043.22.25.3480008 W000.24.35.0430012 S0

N043.22.31.5320016 W000.24.44.9610012 S1

N043.22.48.5140008 W000.25.17.6239992 S2

N043.22.57.5640012 W000.25.09.0549984 G

N043.22.53.6829996 W000.25.00.8919984 C

N043.22.45.8640012 W000.24.45.7089984 M

N043.22.43.4799984 W000.24.37.2409992 N

N043.22.38.1010008 W000.24.31.6710 E

N043.22.42.6479988 W000.24.34.0359984 D

N043.22.40.5959988 W000.25.09.5890008 S

N043.22.43.9230 W000.24.42.2759988 HE

N043.22.14.5899984 W000.24.43.6489992 H4

N043.22.23.9610 W000.25.00.9680016 H13

N043.22.20.6889996 W000.24.54.7120008 H31

N043.22.31.2800016 W000.25.21.4910004 H

N043.22.25.6800 W000.25.10.6569984 H

N043.22.49.1909988 W000.24.42.7340016 H

N043.22.46.9179984 W000.24.38.5380 H

N043.22.51.8909988 W000.24.53.7649992 NA

N043.22.48.5339988 W000.24.47.5059996 NM

N043.22.12.5490 W000.24.51.3740016 SN
