N043.10.59.4000012 E000.00.04.3239996 S1

N043.10.57.7089984 E000.00.05.5580004 S2

N043.10.58.9450008 E000.00.06.4209996 S3

N043.10.59.3519988 E000.00.06.9279984 S4A

N043.10.59.6280 E000.00.06.9620004 S4B

N043.11.00.9240 E000.00.05.7110004 S5

N043.10.59.9160 E000.00.04.6109988 S6

N043.10.58.5729984 E000.00.03.4279992 S7

N043.11.05.7909984 E000.00.13.3880004 P1

N043.11.05.8470 E000.00.12.9120012 P2

N043.11.05.4539988 E000.00.11.4059988 P3

N043.11.06.0510012 E000.00.09.3579984 P4

N043.11.06.4110012 E000.00.08.8719984 P5

N043.11.06.4110012 E000.00.07.7310 P6

N043.11.05.4070008 E000.00.09.5699988 P6b

N043.11.06.4110012 E000.00.06.6740004 P7

N043.11.06.2610 E000.00.04.8350016 P8

N043.11.06.3660012 E000.00.02.8479996 P9

N043.11.06.7859988 E000.00.00.6279984 P10

N043.11.12.9090012 E000.00.06.6160008 G1

N043.11.13.8639984 E000.00.06.9860016 G2

N043.11.14.8040016 E000.00.07.2900 G3

N043.11.15.6469992 E000.00.07.5870 G4

N043.11.15.8110008 E000.00.08.8419996 ACB

N043.11.13.1349984 W000.00.31.8570012 TARMAC
