N043.10.18.7730004 W000.00.35.2329984 02

N043.11.27.8019996 W000.00.00.3049992 20

N043.11.05.8670016 W000.00.06.7659984 A

N043.10.50.2659984 W000.00.14.6360016 B

N043.10.16.3160004 W000.00.32.1689988 C

N043.09.58.8480012 W000.00.40.6379988 D

N043.10.49.8540 W000.00.24.8280012 T6

N043.11.10.3049988 W000.00.14.4420012 T7

N043.10.24.6579996 W000.00.22.8080016 M

N043.10.42.8440008 W000.00.11.1970008 M

N043.10.55.1970012 W000.00.01.8439992 M

N043.11.11.2840008 E000.00.01.1080008 N7

N043.11.11.8560012 E000.00.03.0690 N8

N043.11.10.3400016 W000.00.00.5379984 G2

N043.11.07.5950016 W000.00.02.5459992 G1

N043.10.58.3529988 W000.00.01.2279996 M1

N043.10.12.7070004 W000.00.31.0719996 C1

N043.10.04.4829984 W000.00.35.4399984 M2
