N043.12.56.9289996 E002.17.52.4360004 Z
N043.12.56.5660008 E002.18.00.2999988 T1
N043.12.56.6799984 E002.18.09.6779988 A
N043.12.55.5199992 E002.18.12.8819988 T2
N043.12.56.0509992 E002.18.18.0939996 B
N043.12.54.8280 E002.18.22.6450008 T3
N043.12.54.9690012 E002.18.31.5110016 C
N043.12.53.7810012 E002.18.34.9459992 T4
N043.12.54.4920012 E002.18.39.0089988 D
N043.12.52.8180012 E002.18.46.7200008 T5
N043.12.53.3890008 E002.18.52.4070 E
N043.12.52.2669996 E002.18.55.5009984 T6
N043.12.52.5380004 E002.18.59.1639984 F
