N048.06.33.6229992 E007.21.44.4930012 TWR
N048.06.48.4800012 E007.21.49.2930 Hangars
N048.06.39.1060008 E007.21.43.3119996 ACB
N048.06.25.1349984 E007.21.43.8680016 Hangars
N048.06.35.5389984 E007.21.41.6300004 P-Commercial
N048.06.29.4800004 E007.21.44.2550016 P-Aviation Generale
N048.06.17.3570004 E007.21.39.0039984 P-Sierra
N048.06.33.9210 E007.21.42.7790016 1
N048.06.33.1740 E007.21.42.5750004 2
N048.06.32.4200016 E007.21.42.3429984 3
N048.06.31.6850004 E007.21.42.3519984 4
N048.06.30.9960 E007.21.42.2100 A
N048.06.30.5399988 E007.21.42.0940008 B
N048.06.30.0729996 E007.21.41.8449996 C
N048.06.29.5589988 E007.21.41.7470004 D
N048.06.29.0810016 E007.21.41.6840004 E
