N048.58.47.8049988 E006.14.36.5910 P1

N048.58.47.7720012 E006.14.37.9860 PE

N048.58.49.5249996 E006.14.39.5000016 P2

N048.58.50.9090016 E006.14.41.3030004 P3

N048.58.52.2159996 E006.14.43.1570004 P4

N048.58.54.7280004 E006.14.43.1400012 P5

N048.58.54.6949992 E006.14.45.2670 P6N

N048.58.53.8569984 E006.14.44.2460004 P6S

N048.58.54.2259984 E006.14.46.1180004 P7N

N048.58.53.3660016 E006.14.45.1479984 P7S

N048.58.53.7449988 E006.14.47.0019984 P8N

N048.58.52.8859992 E006.14.45.9980016 P8S

N048.58.53.4219996 E006.14.44.3649984 P9

N048.58.53.2689996 E006.14.36.2590008 Terminal

N048.58.48.9290016 E006.14.32.8700004 TWR
