N048.58.16.6530 E006.14.16.3110012 04

N048.59.26.2460004 E006.15.42.1940016 22

N048.59.27.9099996 E006.15.37.5040008 A

N048.59.12.9350004 E006.15.19.2510 B

N048.58.45.9159996 E006.14.43.9550016 C

N048.59.23.7500016 E006.15.27.7440012 T1

N048.59.03.4789992 E006.15.02.7489996 T2

N048.58.48.9969984 E006.14.44.5769988 T3

N048.58.26.0299992 E006.14.23.6950008 X

N048.58.28.5800016 E006.14.20.5299996 X

N048.58.32.0199996 E006.14.23.8480008 X

N048.58.36.9720012 E006.14.27.4980012 X

N048.58.38.7289992 E006.14.24.0910008 X

N048.58.42.0840012 E006.14.28.1469984 X

N048.58.40.3799988 E006.14.31.1480016 X

N048.58.37.8239988 E006.14.30.4180008 X

N048.58.42.7609992 E006.14.37.1010012 X
