N047.35.50.5989996 E007.31.56.4219984 1

N047.35.51.8070012 E007.31.55.5780 2

N047.35.53.0250 E007.31.54.6700008 3

N047.35.54.2770008 E007.31.53.8010004 4

N047.35.55.6230012 E007.31.52.0470012 5

N047.35.54.6560016 E007.31.48.8480016 6A

N047.35.53.4739992 E007.31.46.2910008 9A

N047.35.51.7549992 E007.31.45.9480 11A

N047.35.50.0989992 E007.31.45.7640004 12A

N047.35.50.1849996 E007.31.43.8390012 14A

N047.35.51.2919996 E007.31.43.9020012 16A

N047.35.52.4540004 E007.31.43.0250016 17

N047.35.53.2770 E007.31.41.7939996 18

N047.35.54.2699988 E007.31.41.8040004 20

N047.35.55.0029984 E007.31.41.2619988 22

N047.35.55.9479984 E007.31.41.5499988 23

N047.35.55.7999988 E007.31.39.3870 24

N047.35.57.6600 E007.31.39.3620016 26

N047.35.58.5620016 E007.31.38.3000016 26A

N047.35.58.9980012 E007.31.37.7870016 28A

N047.35.59.9600004 E007.31.38.5740012 29

N047.35.59.5669992 E007.31.40.0509984 29A

N047.35.58.8890004 E007.31.40.9350 30A

N047.35.58.2680004 E007.31.43.1180004 32A

N047.35.58.7569992 E007.31.45.4350 34

N047.35.59.3139984 E007.31.47.3040012 35

N047.36.00.9709992 E007.31.47.8599996 36

N047.36.04.0579992 E007.31.46.6309992 37

N047.36.03.2370012 E007.31.47.1830016 37A

N047.36.05.5720008 E007.31.45.5970 38

N047.36.04.8870 E007.31.46.0499988 38A

N047.36.06.4170 E007.31.42.4189992 39

N047.36.05.8089996 E007.31.44.0630004 39A

N047.36.05.3319996 E007.31.36.1499988 40

N047.36.06.5490012 E007.31.35.3290008 41

N047.36.07.8639984 E007.31.34.4550 42

N047.36.04.6919988 E007.31.34.1339988 43

N047.36.04.8139992 E007.31.33.0499992 43A

N047.36.05.7729996 E007.31.32.8080 44

N047.36.07.0070004 E007.31.31.9299996 45

N047.36.07.7990004 E007.31.31.3929984 46

N047.36.09.0600012 E007.31.34.7000016 47

N047.36.09.6800004 E007.31.36.9300 48

N047.34.55.9499988 E007.31.42.4099992 A1

N047.35.33.5960016 E007.31.54.8879988 F1

N047.35.35.8890 E007.31.53.3250012 F2

N047.35.37.0479984 E007.31.52.4640 F3

N047.35.38.7480012 E007.31.50.1420 F4

N047.35.41.2940004 E007.31.49.3089996 F4A

N047.35.45.2739984 E007.31.48.1659996 F5

N047.35.42.6900012 E007.31.48.0699984 F5A

N047.35.43.7510004 E007.31.51.0909996 F6

N047.35.44.9250 E007.31.51.5529984 F7

N047.35.45.3080004 E007.31.52.6950012 F8

N047.35.45.6879984 E007.31.53.8880016 F9

N047.35.46.6680012 E007.31.55.6669992 F10

N047.35.48.6729996 E007.31.57.4820004 F11

N047.35.19.4449992 E007.32.11.5900008 F21

N047.35.16.5090012 E007.32.13.5740004 F22

N047.36.10.5050016 E007.31.30.9159984 G7

N047.36.10.7780004 E007.31.31.4490 G8

N047.36.11.0610 E007.31.31.9730016 G9

N047.36.11.3450004 E007.31.32.4890004 G10

N047.36.11.1430008 E007.31.29.3319984 G11

N047.36.11.4519996 E007.31.29.9030016 G12

N047.36.11.7410004 E007.31.30.4219992 G14

N047.36.12.0290004 E007.31.30.9380016 G15

N047.36.11.7110016 E007.31.27.3870012 G16

N047.36.12.0200004 E007.31.27.9680016 G17

N047.36.12.3140016 E007.31.28.5470004 G18

N047.36.12.6029988 E007.31.29.0750016 G19

N047.36.12.8810016 E007.31.29.6029992 G20

N047.36.08.8509996 E007.31.27.7790016 G30

N047.36.09.5730012 E007.31.27.2820 G31

N047.35.23.4399984 E007.32.21.9099984 J1

N047.35.23.8400016 E007.32.19.3899984 J2

N047.35.23.2000008 E007.32.20.1099984 J3

N047.35.23.3599992 E007.32.19.4100 J4

N047.36.13.4520012 E007.31.32.5580016 GAGBA

N047.35.33.1950012 E007.32.05.1510012 JET 1

N047.35.37.4179992 E007.32.22.4120004 NOMAD

N047.35.21.2100 E007.32.20.5699992 JAPAT

N047.35.15.1450008 E007.32.19.7729988 CARGO

N047.34.56.0229996 E007.31.45.6780 ASB

N047.34.58.5959988 E007.31.37.0400016 JET 2

N047.35.10.3419996 E007.31.28.7919984 AMAC

N047.36.21.9660012 E007.31.25.5709992 REGA
