N050.31.24.8660004 E001.36.46.9530 13

N050.30.49.4430012 E001.37.45.7910004 31

N050.31.12.1000008 E001.37.00.8330016 T1

N050.30.59.1009984 E001.37.22.5580008 T2

N050.30.47.1520008 E001.37.41.5059996 T3

N050.30.47.0720016 E001.37.30.1609992 T3

N050.31.16.5399996 E001.36.52.1430012 P1

N050.31.04.3489992 E001.37.09.8850 P2

N050.30.50.7049992 E001.37.31.4889996 X

N050.30.52.1579988 E001.37.35.7129984 X

N050.30.41.3390016 E001.37.49.7129988 X

N050.31.33.6470016 E001.36.33.6769992 X

N050.31.27.9950016 E001.36.42.7290012 X
