N050.06.06.0000012 E001.49.53.0000004 HOP_HABB

N049.52.33.9999996 E002.15.27.0000 HOP_HAMI

N047.59.48.0000012 E002.46.27.9999984 HOP_HAMY

N050.17.45.9999996 E002.45.33.0000012 HOP_HARS

N048.57.15.9999984 E002.31.15.9999996 HOP_HAUL

N047.48.15.9999984 E003.33.28.0000008 HOP_HAUX

N049.26.57.0000012 E002.04.05.9999988 HOP_HBEA

N050.25.05.9999988 E001.33.51.0000012 HOP_HBER

N047.36.16.9999992 E001.20.33.0000 HOP_HBLO

N047.05.03.0000012 E002.26.07.0000008 HOP_HBGS

N049.12.12.9999996 W000.21.27.0000 HOP_HCAE

N049.45.45.0000 E004.41.51.0000 HOP_HMEZ

N048.25.12.0000 E001.30.16.9999992 HOP_LFWB

N047.51.43.9999992 E004.33.29.0000016 HOP_HCHS

N049.37.33.9999996 E003.14.15.0000 HOP_HCHA

N049.23.22.9999992 E002.47.44.0000016 HOP_HCOM

N050.55.05.0000016 E001.47.42.0000 HOP_HCOQ

N048.37.13.0000008 E002.27.25.9999992 HOP_HCOR

N049.55.04.0000008 E001.04.50.0000016 HOP_HDPE

N050.20.13.9999992 E003.06.05.0000004 HOP_HDOI

N048.43.39.0000 E001.23.04.9999992 HOP_LFWD

N051.02.15.0000 E002.23.48.0000012 HOP_HDUN

N049.01.51.9999996 E001.06.51.0000012 HOP_HEVR

N049.44.35.0000016 E000.23.08.0000016 HOP_HFEC

N047.41.25.0000008 E002.38.04.9999992 HOP_HGIE

N048.46.05.0000016 E000.36.42.0000012 HOP_HLAI

N049.33.00.0000 E003.35.49.9999992 HOP_HLAO

N046.48.18.0000 E004.26.45.9999996 HOP_HCRE

N049.31.28.9999992 E000.11.04.9999992 HOP_HHAV

N048.47.04.9999992 E002.16.27.0000012 HOP_HLEP

N050.36.15.0000012 E003.02.06.0000 HOP_HLIL

N046.58.53.0000004 E003.07.19.9999992 HOP_HNEV

N047.50.07.0000008 E001.55.09.9999984 HOP_HORL

N048.52.58.0000008 E002.21.15.9999984 HOP_HPLR

N050.24.51.9999984 E001.39.47.0000016 HOP_IRAN

N047.21.38.0000016 E001.43.54.9999984 HOP_HROM

N049.26.26.0000016 E001.06.39.9999996 HOP_HROU

N048.39.18.0000 E004.57.54.0000 HOP_HSDI

N050.42.12.9999996 E002.15.16.9999992 HOP_HOME

N050.23.16.0000008 E002.20.08.0000016 HOP_HSTP

N049.51.38.0000016 E003.16.18.0000012 HOP_HSTQ

N047.56.17.9999988 E001.52.42.9999996 HOP_HSPS

N047.14.44.0000016 W000.03.33.9999984 HOP_HSAU

N047.29.44.0000016 E004.20.39.9999984 HOP_HSEM

N048.11.30.9999984 E003.18.23.0000004 HOP_HSES

N047.20.56.0000004 E000.42.33.0000012 HOP_HTOU

N050.21.38.9999988 E003.29.57.0000012 HOP_HVAC

N047.47.39.0000012 E001.03.46.0000008 HOP_HVEN

N048.44.39.9999984 E000.53.30.0000012 HOP_HVER
