N047.03.45.8970012 E002.39.12.9319992 A1

N047.02.55.8780 E002.36.39.2510016 A2

N047.03.45.1000008 E002.39.04.7689992 B1

N047.03.40.0889988 E002.38.52.8309996 B2

N047.03.23.9739984 E002.38.22.4289996 B3

N047.03.02.5160004 E002.37.37.5920004 B4

N047.02.48.3990 E002.36.42.9180012 B5

N047.03.28.1819988 E002.38.42.0510012 E

N047.03.08.7530004 E002.38.07.2560004 C

N047.02.55.2059988 E002.37.32.4689988 W

N047.02.52.2290004 E002.37.06.4800012 W

N047.03.05.4219996 E002.37.43.4330004 X

N047.03.10.1990016 E002.37.52.0169988 X

N047.03.14.6829996 E002.37.59.7079992 X

N047.03.18.4020012 E002.38.06.3359988 X

N047.03.22.8909996 E002.38.14.3379996 X

N047.03.29.1800016 E002.38.25.2669984 X

N047.03.33.2730 E002.38.32.5359996 X

N047.03.23.7560004 E002.38.26.4840 X

N047.03.17.4600 E002.38.36.8869992 X

N047.03.12.3710004 E002.38.45.8040012 X

N047.03.07.5970008 E002.38.54.5529984 X
