N049.27.13.1600016 E002.06.27.2329992 IGN
N049.27.33.0270012 E002.06.39.2180004 T1
N049.27.35.9229996 E002.06.52.1640 T2
N049.27.44.6730012 E002.07.18.3730008 Park. Nord
N049.27.44.3639988 E002.07.10.7929992 Hangars ACB
N049.27.31.7379996 E002.06.33.0230016 L5
N049.27.31.3200 E002.06.34.1510004 L4
N049.27.31.0140 E002.06.34.8620004 L3
N049.27.30.7890 E002.06.35.3769984 L1
N049.27.30.7569996 E002.06.36.2360016 L2
N049.27.31.0299984 E002.06.39.5460 1
N049.27.30.4869996 E002.06.40.8039984 2
N049.27.29.6120016 E002.06.42.8050008 3
N049.27.28.7759988 E002.06.44.5510008 4
N049.27.28.4540004 E002.06.45.1590012 5
N049.27.29.2520016 E002.06.45.4730004 6
N049.27.30.2940 E002.06.46.9050012 7
N049.27.31.3999992 E002.06.48.3950016 8
N049.27.33.1760016 E002.06.50.8669992 9
N049.27.34.0059996 E002.06.51.9289992 10
N049.27.35.1320004 E002.06.53.4740004 11
N049.27.36.2260008 E002.06.54.9450 12
N049.27.14.7399984 E002.06.27.2700 G1
N049.27.14.3200008 E002.06.28.2099996 G2
N049.27.13.8700008 E002.06.29.3400 G3
