N048.46.47.8269984 E004.11.22.2950004 W1

N048.46.45.1940016 E004.11.16.5199992 W2

N048.46.48.1990008 E004.11.19.0010004 W3

N048.46.48.5130 E004.11.16.0919988 W4

N048.46.48.9429984 E004.11.13.2259992 W5

N048.46.45.9670008 E004.11.33.6739992 E1E

N048.46.46.3100016 E004.11.31.5350016 E1W

N048.46.44.8790016 E004.11.33.3750012 E2E

N048.46.45.2510004 E004.11.31.2360 E2W

N048.46.43.9060008 E004.11.33.0749988 E3E

N048.46.44.2499988 E004.11.30.9789996 E3W

N048.46.42.8760012 E004.11.32.7760008 E4E

N048.46.43.2189984 E004.11.30.5940012 E4W

N048.46.43.7340 E004.11.37.3530012 E5A

N048.46.45.8810004 E004.11.37.2249996 E5

N048.46.45.5660004 E004.11.39.3640008 E6A

N048.46.45.4029996 E004.11.40.6389984 E6

N048.46.45.2430012 E004.11.41.7680016 E6B

N048.46.45.0369984 E004.11.43.3420008 E7A

N048.46.44.8529988 E004.11.44.7450 E7

N048.46.44.6469996 E004.11.46.1829984 E7B

N048.46.44.3730 E004.11.48.4410012 E8

N048.46.43.9060008 E004.11.51.9839988 E9

N048.46.41.5599996 E004.11.46.5510012 E10

N048.46.41.0750004 E004.12.28.0239984 M1

N048.46.47.0989992 E004.10.51.2889996 S

N048.46.50.2749984 E004.11.21.0930 TERMINAL

N048.46.48.4719996 E004.11.34.0119996 FRET 1

N048.46.47.8430004 E004.11.39.7449996 FRET 2
