N048.46.45.3299988 E004.09.37.7679996 10
N048.46.23.3789988 E004.12.27.5550012 28
N048.46.41.4189984 E004.10.31.7480016 A2
N048.46.34.9849992 E004.11.24.0050004 A3
N048.46.27.7950 E004.12.18.9410004 A4
N048.46.27.5419992 E004.12.32.1490008 A5
N048.46.46.0869996 E004.10.43.0410 B1
N048.46.44.3200008 E004.10.53.3780004 B2
N048.46.41.4189984 E004.11.14.8170012 B3
N048.46.39.5270004 E004.11.30.7039992 B4
N048.46.41.4189984 E004.11.03.7140 T2
N048.46.33.8499984 E004.11.59.9910 T3
N048.46.29.8130016 E004.12.31.7660004 T4
N048.46.36.1210008 E004.12.27.7459992 M
N048.46.40.8439992 E004.11.41.3319984 E
N048.46.42.3320016 E004.11.30.2520012 EA
N048.46.43.3049988 E004.11.34.1450016 EB
N048.46.43.9160016 E004.11.15.9720 W
