N048.22.40.4349996 E002.04.03.1289988 G1

N048.22.44.4169992 E002.04.12.1019988 G2

N048.22.48.4240008 E002.04.21.3340008 G3

N048.22.50.7180 E002.04.26.6080008 G4

N048.22.53.2750008 E002.04.32.4440004 G5

N048.22.57.5770008 E002.04.42.2339988 G6

N048.23.01.4280 E002.04.50.8739988 G7

N048.22.48.4659984 E002.04.26.0879988 G

N048.22.39.9380016 E002.04.15.6159984 W

N048.22.43.5380016 E002.04.21.6210 A

N048.22.45.7929984 E002.04.32.1510 D

N048.22.56.3400012 E002.04.50.9880 B

N048.22.58.6170012 E002.04.54.5220012 E

N048.22.48.1040004 E002.04.56.5020012 S

N048.22.53.1919992 E002.04.45.7520016 T
