N049.00.49.2699996 E002.30.17.7400008 I04

N049.00.49.3700004 E002.30.20.0000016 I05

N049.00.49.5299988 E002.30.22.2099984 I06

N049.00.43.6100004 E002.30.18.4700016 I09

N049.00.43.7000004 E002.30.20.6799984 I10

N049.00.43.7900004 E002.30.22.9500 I11

N049.00.41.4699984 E002.30.21.6299988 I14

N049.00.39.5300016 E002.30.21.4499988 I15

N049.00.39.1200012 E002.30.21.6699984 I16

N049.00.37.6099992 E002.30.21.6799992 I17

N049.00.36.7999992 E002.30.21.9200004 I18

N049.00.35.6799996 E002.30.21.9099996 I19

N049.00.47.1899988 E002.30.08.9899992 I20

N049.00.44.9600004 E002.30.07.5600 I21

N049.00.44.3499984 E002.30.07.5300012 I22

N049.00.43.0499988 E002.30.07.8000012 I23

N049.00.41.1199992 E002.30.08.0200008 I24

N049.00.39.2000004 E002.30.08.2699992 I25

N049.00.37.8699984 E002.30.08.1699984 I26

N049.00.37.2600 E002.30.07.9200 I27

N049.00.52.5600 E002.30.11.3600016 I3A

N049.00.52.4400012 E002.30.09.6000012 I3B

N049.00.52.3599984 E002.30.07.8900012 I3C

N049.00.52.2500004 E002.30.06.0800004 I3D

N049.00.52.2600012 E002.30.03.8000016 I3F

N049.00.52.1700012 E002.30.02.1300012 I3G

N049.00.52.0800012 E002.30.00.4600008 I3H

N049.00.55.1999988 E002.30.24.8500008 I30

N049.00.55.6400016 E002.30.24.2200008 I31

N049.00.55.3299984 E002.30.22.4600004 I32

N049.00.55.4900004 E002.30.20.6700012 I33

N049.00.55.1800008 E002.30.20.0800008 I34

N049.00.54.6699996 E002.30.11.4999984 I35

N049.00.54.5100012 E002.30.08.8999992 I36

N049.00.54.3700008 E002.30.06.3299988 I37

N049.00.54.1900008 E002.30.02.9300004 I38

N049.00.54.0600012 E002.30.00.3600 I39

N049.00.47.9999988 E002.30.09.5799996 I40

N049.00.46.9400004 E002.30.08.0899992 I41

N049.00.47.1899988 E002.30.07.7600016 I42

N049.00.46.6999992 E002.30.04.3999992 I43

N049.00.46.5400008 E002.30.01.4600016 I44

N049.00.46.3899996 E002.29.58.5800016 I45

N049.00.46.2200004 E002.29.55.6299996 I46

N049.00.46.0800 E002.29.52.7499996 I47

N049.00.45.8799984 E002.29.49.2200016 I48

N049.00.45.7189992 E002.29.46.3099992 I49

N049.00.48.8400012 E002.30.08.2199988 I4J

N049.00.48.8099988 E002.30.06.5400012 I4L

N049.00.48.6600012 E002.30.04.8200004 I4M

N049.00.48.5899992 E002.30.03.1399992 I4N

N049.00.48.4700004 E002.30.01.5599988 I4P

N049.00.48.4099992 E002.29.59.7800004 I4Q

N049.00.48.3699996 E002.29.58.1399988 I4R

N049.00.48.2299992 E002.29.56.4699984 I4S

N049.00.48.1500 E002.29.54.7900008 I4T

N049.00.48.0700008 E002.29.53.1300012 I4U

N049.00.47.9700 E002.29.51.4600008 I4V

N049.00.47.8500012 E002.29.49.4000016 I4W

N049.00.47.7799992 E002.29.47.6999988 I4X

N049.00.45.1500012 E002.29.43.4100012 I50

N049.00.44.8400016 E002.29.41.3300004 I51

N049.00.44.0100 E002.29.41.5899996 I52

N049.00.42.9199992 E002.29.41.3300004 I53

N049.00.41.6700 E002.29.41.8999992 I54

N049.00.41.0199984 E002.29.41.8999992 I55

N049.01.03.3600 E002.30.28.2099996 I60

N049.01.02.6199984 E002.30.25.6700016 I61

N049.01.03.1699992 E002.30.24.6499992 I62

N049.01.02.4700008 E002.30.21.9300012 I63

N049.01.02.9600004 E002.30.21.1200012 I64

N049.01.02.3000016 E002.30.19.0100016 I65

N049.01.02.7599988 E002.30.17.5700016 I66

N049.01.02.1000 E002.30.16.0300008 I67

N049.01.02.5899996 E002.30.14.0199984 I68

N049.01.01.9499988 E002.30.13.0799988 I69

N049.01.02.4099996 E002.30.10.4600016 I70

N049.01.01.5999996 E002.30.06.7399992 I71

N049.01.02.1299988 E002.30.05.8799988 I72

N049.01.01.4099988 E002.30.03.0200004 I73

N049.01.01.9700004 E002.30.02.3400 I74

