N049.01.29.2590012 E002.31.32.0250 09L
N049.01.35.9100012 E002.33.38.7680004 27R
N049.01.14.3569992 E002.30.49.5900 09R
N049.01.25.0410 E002.34.09.1269984 27L
N048.59.44.6060004 E002.33.11.5999992 08L
N048.59.54.9790008 E002.36.28.0749996 26R
N048.59.34.5500016 E002.33.59.6700 08R
N048.59.41.4110004 E002.36.05.6829996 26L
N049.01.26.4740016 E002.31.28.8440004 Z1
N049.01.27.0109992 E002.31.37.7299992 Z2
N049.01.28.1610012 E002.32.00.0629988 Z3
N049.01.30.8460 E002.32.47.7669984 Z5
N049.01.31.7660016 E002.33.12.9060 Z6
N049.01.32.9930004 E002.33.32.0810004 Z7
N049.01.33.6830016 E002.33.41.6689992 Z8
N049.01.22.6390008 E002.31.30.1299996 K
N049.01.23.4829992 E002.31.44.5119996 K
N049.01.28.0850016 E002.33.11.8540008 K
N049.01.28.9279992 E002.33.28.3399992 K
N049.01.29.6180004 E002.33.38.0440008 K
N049.01.18.0379992 E002.31.23.1150 K1
N049.01.18.7280004 E002.31.37.3789992 K2
N049.01.19.3419984 E002.31.48.1360008 K3
N049.01.24.5570016 E002.33.22.1429988 K6
N049.01.25.0939992 E002.33.34.4199996 K7
N049.01.25.5540 E002.33.42.0199992 K8
N049.01.12.3989988 E002.30.47.1210012 D1
N049.01.13.8749988 E002.31.15.8239992 D3
N049.01.14.3839992 E002.31.24.1250016 D4
N049.01.15.0960 E002.31.38.0110008 D5
N049.01.15.7069992 E002.31.48.6390 D6
N049.01.20.7030 E002.33.22.5799992 Q2
N049.01.21.4479984 E002.33.35.0799984 Q3
N049.01.22.0689984 E002.33.43.6029984 Q4
N049.01.22.6899984 E002.33.57.2400 Q5
N049.01.23.3119992 E002.34.13.3380012 Q6
N049.01.12.1069992 E002.30.54.6400008 Y1A
N049.01.14.9900016 E002.31.32.8969992 Y1
N049.01.11.3009988 E002.31.20.6789988 Y1
N049.01.14.0360016 E002.31.54.3280008 Y2
N049.01.15.2450004 E002.32.11.5890 Y4
N049.01.13.0180008 E002.32.24.2919996 Y4
