N048.45.02.1089988 E002.06.43.7190012 TWR
N048.44.57.8100012 E002.06.48.1619988 Les Alcyons
N048.44.52.5469992 E002.06.02.3900004 AstonFly
N048.44.48.0210 E002.06.02.6269992 Allintair
N048.44.52.6329996 E002.06.05.0820012 Helixaero
N048.44.48.8140008 E002.06.13.6130004 Héli-Union
N048.44.51.0740016 E002.06.15.3129996 ACB Air France
N048.44.50.2239984 E002.06.27.0429984 Aero Touring
N048.44.56.2220016 E002.06.39.4679988 Aeropyrénées
N048.44.54.9960 E002.06.52.5890016 Farman
N048.45.01.8600012 E002.07.08.8460004 ACPS
N048.45.00.6379992 E002.06.37.3610016 10
N048.45.01.1220012 E002.06.37.4140008 11
N048.45.01.6059996 E002.06.37.4619996 12
N048.45.02.0919996 E002.06.37.5220008 13
N048.45.02.5729992 E002.06.37.5770016 14
N048.45.00.9470016 E002.06.39.2199984 20
N048.45.01.4349996 E002.06.39.2749992 21
N048.45.01.9159992 E002.06.39.3300 22
N048.45.02.4009984 E002.06.39.3860016 23
N048.45.02.8800 E002.06.39.4390008 24
N048.45.03.3710004 E002.06.39.4899984 25
N048.44.58.8180012 E002.06.36.8290008 30
N048.44.58.9260012 E002.06.37.5480 31
N048.44.59.0759988 E002.06.38.3839992 32
N048.44.59.2389996 E002.06.39.4049988 33
N048.44.59.3970 E002.06.40.3999992 34
N048.45.04.1199984 E002.06.42.4460016 40
N048.45.04.4660016 E002.06.44.0179992 41
N048.45.04.8189996 E002.06.45.5580 42
N048.45.05.1689988 E002.06.47.1110004 43
