N048.44.56.1660 E002.06.32.0019984 A
N048.44.55.0309992 E002.06.29.7889992 B
N048.44.54.1330008 E002.06.27.7189992 C
N048.44.53.4599988 E002.06.24.0519996 D
N048.45.13.6299996 E002.06.51.5220012 E
N048.45.04.6800 E002.06.54.5150016 E1
N048.45.01.4079996 E002.07.01.7730012 E1
N048.44.59.3890008 E002.07.07.8690 E2
N048.44.59.4870 E002.06.54.1699992 E3
N048.44.59.8549992 E002.07.00.7079988 E4
N048.45.04.5479988 E002.06.53.0210016 E4
N048.45.00.8449992 E002.07.01.4639988 EH
N048.44.53.4300 E002.06.15.4199988 F
N048.44.59.8800012 E002.06.23.8460004 H1
N048.44.56.5959984 E002.06.16.1129988 H2
N048.45.04.8909996 E002.06.42.6740004 S
N048.44.59.8329996 E002.06.36.1659996 S
N048.44.54.5560008 E002.06.25.6349988 S
N048.44.54.2820012 E002.06.12.5349984 S
N048.45.04.6119996 E002.06.36.4250016 S1
N048.44.53.3870016 E002.06.12.5520012 S2
N048.44.52.5230016 E002.06.20.2230 S2
N048.44.52.7039988 E002.06.26.6289984 S2
N048.44.56.6610 E002.06.34.6380012 S2
N048.44.54.0589992 E002.06.01.9720008 W
N048.44.54.6029988 E002.05.58.0409988 W
N048.45.00.6609996 E002.05.53.3990004 W
N048.44.56.0600016 E002.06.03.9999996 W1
N048.44.50.7680016 E002.06.08.1780012 W2
N048.44.50.1140004 E002.05.59.6789988 W3
