N048.46.26.8420008 E002.11.22.8210 09
N048.46.28.4779992 E002.12.48.4290 27
N048.46.23.3630004 E002.12.41.4439992 A
N048.46.17.7340008 E002.12.20.2430016 A
N048.46.19.1460 E002.11.50.9210016 B
N048.46.21.5529996 E002.11.35.3310 C
N048.46.15.0570012 E002.12.09.7920 D
N048.46.12.1929996 E002.12.08.2389996 E
N048.46.02.2699992 E002.12.27.7200 E
N048.46.13.1649996 E002.12.12.3530004 F
N048.46.14.3410008 E002.11.55.8210012 G
N048.46.07.7430 E002.11.37.3490016 H1
N048.46.06.7710 E002.12.15.4569996 X
N048.46.05.9530008 E002.12.11.3439996 X
N048.45.57.1550004 E002.12.37.6549992 X
N048.45.58.7919996 E002.12.25.6250016 X
N048.45.51.8860008 E002.12.39.0520008 X
