N048.50.25.4140008 E001.58.35.6720016 05

N048.50.40.5690 E001.59.05.2149984 23

N048.50.34.6629984 E001.58.36.5940012 10

N048.50.29.6970 E001.59.07.3500 28

N048.50.24.3750012 E001.58.37.0300008 A1

N048.50.25.9980 E001.58.41.1049992 A

N048.50.27.9129984 E001.58.43.7739996 A2

N048.50.28.8859992 E001.58.46.7330016 A

N048.50.30.1840008 E001.58.48.1879992 A3

N048.50.30.4760004 E001.58.50.5650 B3

N048.50.29.3079984 E001.58.54.7370004 B

N048.50.29.1130008 E001.58.58.7150004 B4

N048.50.28.0100004 E001.59.02.7409992 B

N048.50.27.7500012 E001.59.07.3010004 B5

N048.50.33.0399996 E001.58.59.5400016 N2

N048.50.33.4290012 E001.58.56.2410012 N1

N048.50.35.0520 E001.58.57.4050 A4

N048.50.37.0640004 E001.59.02.5959984 A

N048.50.39.7569984 E001.59.06.5739984 A5

N048.50.31.0279992 E001.58.43.4340012 S1

N048.50.30.1520004 E001.58.41.9790 S2

N048.50.32.0020008 E001.58.41.5909992 B2

N048.50.32.0660016 E001.58.38.0010 B

N048.50.33.0079992 E001.58.35.2840008 B1

N048.50.26.2150008 E001.58.48.3060 T

N048.50.25.0019988 E001.58.51.8670012 AVT
