N048.48.26.0799984 E002.04.31.0400004 E2
N048.48.30.0020004 E002.04.25.0820004 E1
N048.48.32.0429988 E002.04.21.0360 G
N048.48.35.0619984 E002.04.07.0539996 F
N048.48.39.0390012 E002.03.58.0860 K7
N048.48.40.0629996 E002.03.54.0540 K5
N048.48.43.0099992 E002.03.46.0140012 K3
N048.48.42.0559992 E002.03.52.0110 K4
N048.48.36.0360 E002.04.26.0029992 B
N048.48.34.0670016 E002.04.24.0470004 A
N048.48.46.0090008 E002.03.59.0850 C
N048.48.42.0620004 E002.03.57.0690 D
N048.48.38.0959992 E002.04.23.0859984 C5
N048.48.42.0500016 E002.04.11.0719992 C4
N048.48.44.0579988 E002.04.04.0580004 C3
N048.48.37.0230012 E002.03.55.0029996 C2
N048.48.39.0920004 E002.04.09.0930 D4
N048.48.41.0780016 E002.04.03.0050004 D3
N048.48.44.0430012 E002.03.53.0319996 D2
N048.48.46.0580004 E002.03.44.0049996 D1
N048.48.49.0880016 E002.04.46.0250004 C1
N048.48.52.0959996 E002.03.57.0170016 K2
N048.48.54.0450 E002.03.51.0260004 K1
