N050.34.19.2100008 E003.06.55.3790016 Fret

N050.34.18.3540 E003.06.21.3729984 Terminal

N050.34.08.0960016 E003.05.42.9550008 Aviation Generale

N050.34.26.2419996 E003.05.38.9699988 H

N050.34.23.1099996 E003.05.40.5219984 Parking E

N050.34.13.0820016 E003.06.07.9610004 B01

N050.34.13.4249988 E003.06.10.2700008 B02

N050.34.13.7210016 E003.06.12.3620004 B03

N050.34.14.0400012 E003.06.14.4180 B04

N050.34.14.3829984 E003.06.16.5459996 B06

N050.34.15.0459996 E003.06.19.5040008 B07

N050.34.15.2709996 E003.06.21.2540004 B08

N050.34.15.4480008 E003.06.22.3899984 B09

N050.34.15.8620008 E003.06.24.2480016 B10

N050.34.16.0510008 E003.06.25.8710004 B11

N050.34.16.2410016 E003.06.27.0069984 B12

N050.34.16.4769996 E003.06.28.6670016 B13

N050.34.16.6310004 E003.06.29.7669996 B14

N050.34.16.2999984 E003.06.30.7590012 B15

N050.34.16.7610 E003.06.32.2740 B16

N050.34.16.8800016 E003.06.33.0850008 B17

N050.34.07.7779992 E003.05.53.0810016 C1W

N050.34.07.4470008 E003.05.53.2079988 C1E

N050.34.06.9740004 E003.05.53.3159988 C2W

N050.34.06.6900 E003.05.53.4599988 C2E

N050.34.06.1929984 E003.05.53.6039988 C3W

N050.34.05.9210004 E003.05.53.7309996 C3E

N050.34.05.4480 E003.05.53.8929996 C4W

N050.34.05.1399984 E003.05.54.0189996 C4E

N050.34.04.6319988 E003.05.54.1820004 C5W

N050.34.04.3709988 E003.05.54.3080004 C5E

N050.34.07.2819984 E003.05.50.3220012 C6W

N050.34.06.9740004 E003.05.50.4480012 C6E

N050.34.06.3590016 E003.05.50.6649984 C7W

N050.34.06.0750012 E003.05.50.8089984 C7E

N050.34.05.4950016 E003.05.50.9709984 C8W

N050.34.05.1399984 E003.05.51.1159992 C8E

N050.34.04.5720012 E003.05.51.2419992 C9W

N050.34.04.2170016 E003.05.51.4219992 C9E

N050.34.05.3889996 E003.05.47.1670008 C10

N050.34.04.9910016 E003.05.44.2669992 C11

N050.34.03.6469992 E003.05.42.9690012 C12

N050.34.04.6130016 E003.05.41.3090016 C13

N050.34.14.3050008 E003.06.53.4539988 D01W

N050.34.14.6349984 E003.06.53.7570 D01E

N050.34.14.9260008 E003.06.53.2320012 D02W

N050.34.15.2739984 E003.06.53.5569984 D02E

N050.34.15.5889984 E003.06.53.0030016 D03W

N050.34.15.9039984 E003.06.53.3499984 D03E

N050.34.13.6800012 E003.06.56.4969996 D04W

N050.34.14.2860 E003.06.57.2659992 D04E

N050.34.14.6640 E003.06.56.1570012 D05W

N050.34.15.2310 E003.06.56.9850012 D05E

N050.34.15.6519984 E003.06.55.8249984 D06W

N050.34.16.2580008 E003.06.56.6079984 D06E

N050.34.15.6380016 E003.06.59.2819992 D07W

N050.34.16.7329992 E003.07.00.5459988 D07E
