N050.34.09.4460016 E003.06.41.7440016 P2
N050.34.03.3539988 E003.06.02.4580008 P3
N050.34.00.0140016 E003.05.34.9379988 P4
N050.33.58.1190012 E003.05.21.5210004 P5
N050.34.07.8219984 E003.06.55.2980016 T2
N050.34.03.7149996 E003.06.25.7820012 T3
N050.33.57.6680004 E003.05.42.9190008 T4
N050.33.55.5009984 E003.05.27.9890016 T5
N050.34.12.6509988 E003.06.56.9499984 V1
N050.34.08.6340 E003.06.24.6129984 V2
N050.34.06.4229988 E003.06.09.9579996 V3
N050.34.02.0449992 E003.05.48.0099984 V4
N050.34.01.2780012 E003.05.42.5060016 V5
N050.34.23.7209988 E003.05.30.6150 V6
N050.34.25.2919992 E003.05.31.1780004 V7
N050.34.23.0970 E003.05.35.0180016 V8
N050.34.25.3380 E003.05.32.5520016 E
N050.34.23.0279988 E003.05.32.6929992 F
