N044.24.34.4700 E002.29.01.3620012 1
N044.24.32.7499992 E002.29.04.4120004 2
N044.24.30.7599984 E002.29.07.1499984 3
N044.24.30.8800008 E002.29.07.4799996 3A
N044.24.31.3099992 E002.29.07.8090 4
N044.24.31.6199988 E002.29.08.3109984 3B
N044.24.31.8600 E002.29.08.3979996 5
N044.24.31.6000008 E002.29.05.7639984 7
N044.24.31.8700008 E002.29.05.7639984 7A
N044.24.32.1400008 E002.29.06.3710016 8
N044.24.32.5900008 E002.29.06.6819984 7B
N044.24.32.6599992 E002.29.06.9420012 9
N044.24.29.2700016 E002.29.08.2590 T10
N044.24.41.2599996 E002.28.55.2500004 Hangar
N044.24.34.6899996 E002.29.06.8799984 Hangar
N044.24.37.5000012 E002.29.01.4150004 TWR
N044.24.38.5599996 E002.28.59.7349992 Terminal
