N042.33.02.2200012 E009.28.42.8289996 ACB
N042.32.51.3980016 E009.28.51.1719996 TERMINAL
N042.32.48.5949984 E009.28.52.5910008 FRET
N042.32.34.1080008 E009.28.57.4200012 CCM
N042.32.38.5460016 E009.28.59.7140004 A1-C
N042.32.40.3540008 E009.28.58.6340004 A2
N042.32.42.5469984 E009.28.58.6670016 P3
N042.32.44.2820004 E009.28.57.9799992 A4
N042.32.46.0659984 E009.28.57.1620 A5
N042.32.47.8979988 E009.28.56.3109996 P7
N042.32.49.7299992 E009.28.55.5589992 P8
N042.32.51.6090012 E009.28.54.7410 P9
N042.32.53.4410016 E009.28.53.9559984 P10
N042.32.55.3449984 E009.28.53.2359984 P11
N042.32.56.6099988 E009.28.52.5190008 P12
N042.32.56.9960016 E009.28.45.9180012 B14
N042.32.57.4800 E009.28.43.5050004 B15
N042.32.57.2529984 E009.28.44.3499996 B16
N042.32.59.8589988 E009.28.44.5370016 C23
N042.32.59.8490016 E009.28.43.8669984 C24
N042.32.59.8300008 E009.28.43.1699988 C25
N042.32.59.8200 E009.28.42.4869996 C26
N042.33.00.9249984 E009.28.44.5100016 C33
N042.33.00.9249984 E009.28.43.8269988 C34
N042.33.00.9060012 E009.28.43.1169996 C35
N042.33.00.8759988 E009.28.42.4200 C36
N042.33.02.6610012 E009.28.48.2810016 D9
N042.33.02.3709996 E009.28.49.8180 D10
N042.33.03.8419992 E009.28.49.2949992 D11
N042.33.04.2750 E009.28.47.6259996 D16
N042.33.06.0270012 E009.28.48.2120004 FUEL
N042.32.35.4130008 E009.29.01.0550004 S1
