N041.30.01.1329992 E009.05.53.7860004 7

N041.30.00.8049996 E009.05.55.5969984 8

N041.29.59.7980004 E009.05.54.3369984 9

N041.29.58.8249996 E009.05.52.9850004 10

N041.29.57.8870016 E009.05.51.7509996 11

N041.29.57.0080004 E009.05.48.5360016 12

N041.29.57.6399984 E009.05.49.9099992 12B

N041.29.56.9410008 E009.05.50.4849984 13

N041.29.57.9639984 E009.05.47.5929996 14

N041.30.07.0499988 E009.05.58.7299992 H1

N041.30.07.6100004 E009.05.59.5500 H2

N041.30.08.1900 E009.06.00.3600 H3

N041.30.08.7400008 E009.06.01.1999988 H4

N041.30.02.5449984 E009.05.56.4069984 21

N041.30.02.6190 E009.05.57.1409988 21A

N041.30.02.1060 E009.05.57.6549996 21B

N041.30.04.2720012 E009.05.57.8079996 22

N041.30.03.7000008 E009.05.58.5399984 23

N041.30.03.0099996 E009.05.59.3199996 24

N041.30.05.5199988 E009.05.59.7500016 31

N041.30.05.0500008 E009.06.00.2099988 32

N041.30.04.5299988 E009.06.00.8300016 33

N041.30.04.0399992 E009.06.01.3500 34

N041.30.06.5400012 E009.06.01.4000004 35

N041.30.06.0199992 E009.06.02.0700 36

N041.30.05.6000016 E009.06.02.5700004 37

N041.30.05.1099984 E009.06.03.0800016 38

N041.30.07.6799988 E009.06.02.8299996 51

N041.30.07.2600012 E009.06.03.3199992 52

N041.30.06.8600016 E009.06.03.8199996 53

N041.30.06.4400004 E009.06.04.3599996 54

N041.30.06.0699996 E009.06.04.8099996 55

N041.29.55.8740004 E009.05.52.9209996 Terminal

N041.29.58.7040 E009.05.56.1450012 TWR
