N041.54.46.9910016 E008.47.39.7780008 A
N041.55.20.7620004 E008.48.00.9770004 B
N041.55.25.0399992 E008.48.03.5399988 H
N041.55.39.4039992 E008.48.12.5089992 C
N041.55.45.3630 E008.48.16.4689992 D
N041.55.19.1570016 E008.48.08.7819984 F
N041.55.12.5100012 E008.48.04.8210012 E
N041.54.55.7030016 E008.47.37.9039992 T
N041.55.05.8270008 E008.47.44.0189988 T
N041.55.18.2420004 E008.47.51.5900004 T
N041.55.23.0170008 E008.47.46.7859984 G1
N041.55.23.6859996 E008.47.36.0110004 G2
N041.55.33.8090016 E008.48.01.6369992 D1
N041.55.24.1629996 E008.47.55.5219996 D2
N041.55.28.1740008 E008.47.35.4289992 X
N041.55.27.6009996 E008.47.43.8740016 X
N041.55.27.0279984 E008.47.52.3179996 X
