N045.37.57.3489984 E005.53.01.7620008 P

N045.38.06.7819992 E005.53.00.4610004 L

N045.38.06.1329984 E005.53.02.9910012 ACB

N045.38.15.7660008 E005.52.58.5969996 1

N045.38.18.1830012 E005.52.59.3490 2

N045.38.19.4660016 E005.52.59.7249984 3

N045.38.20.5019988 E005.53.00.1510008 4

N045.38.20.8960008 E005.52.59.3240016 5

N045.38.22.0310016 E005.53.00.0759984 6

N045.38.22.7540004 E005.52.58.9230012 7

N045.38.23.0499996 E005.52.59.7000 8

N045.38.24.1350 E005.52.58.6470 9

N045.38.24.7760016 E005.52.59.4739992 10

N045.38.25.8950004 E005.52.58.4720004 11

N045.38.26.4699996 E005.52.59.4490008 12

N045.38.29.2570008 E005.52.59.4120 13

N045.38.30.6880008 E005.52.59.2989996 14

N045.38.31.7929992 E005.52.59.1870 15

N045.38.32.6760 E005.52.58.7060004 16

N045.38.33.3710016 E005.52.59.1390012 17

N045.38.33.6130008 E005.52.58.5609996 18

N045.38.34.4019984 E005.52.59.0750004 19

N045.38.34.8969984 E005.52.58.3849992 20

N045.38.35.3180004 E005.52.58.3209984 21

N045.38.36.0539988 E005.52.58.9940004 22

N045.38.35.6650008 E005.52.55.2240012 23

N045.38.34.6229988 E005.52.55.2889992 24

N045.38.33.5600016 E005.52.55.3209996 25

N045.38.32.5610016 E005.52.55.3689984 26

N045.38.31.5080016 E005.52.55.4490012 27

N045.38.30.5930004 E005.52.55.4810016 28

N045.38.29.9090004 E005.52.55.5129984 29

N045.38.29.2989984 E005.52.55.5129984 30
