N045.37.49.8349992 E005.52.50.9469996 36

N045.38.41.3289996 E005.52.46.6439988 18

N045.37.58.7409996 E005.52.53.5289988 36R

N045.38.15.9270 E005.52.51.9989988 18L

N045.38.26.5859988 E005.52.52.2800004 C

N045.38.25.6980012 E005.52.54.7870008 C

N045.38.43.6020 E005.52.52.1870016 N

N045.38.28.9370004 E005.52.53.3930016 N

N045.38.19.0610016 E005.52.56.7210 N1

N045.38.24.2959992 E005.52.56.2310004 N1

N045.38.30.2370 E005.52.57.0140004 N2

N045.38.34.9569996 E005.52.56.6230008 N2

N045.37.54.6210012 E005.52.57.2999988 S

N045.38.01.7869992 E005.52.57.4790016 S

N045.38.13.9549992 E005.52.56.3319984 S

N045.38.24.0320004 E005.52.53.6220012 X

N045.38.21.7970016 E005.52.53.9349996 X

N045.38.19.3049988 E005.52.54.1310016 X

N045.38.17.5070004 E005.52.54.7970016 X
