N045.47.10.6590012 E003.09.02.8730016 C5
N045.47.18.4089984 E003.09.11.7950004 K5
N045.47.19.0380012 E003.09.14.6660004 K7
N045.47.17.7320004 E003.09.16.6100004 K6
N045.47.16.3089996 E003.09.14.0739984 K4
N045.47.11.3579988 E003.09.14.4180 C4
N045.47.02.2480008 E003.09.17.4870 D4
N045.47.03.0919992 E003.09.31.3909992 T3
N045.47.17.4699996 E003.09.25.3760004 B
N045.47.18.9390012 E003.09.30.3099984 K3
N045.47.19.6260 E003.09.40.1289984 K2
N045.47.17.1290004 E003.09.37.4060016 C3
N045.47.04.6600008 E003.09.44.2270008 D3
N045.47.07.9260 E003.10.20.6760 T2
N045.47.10.3329996 E003.10.41.9810016 D2
N045.47.23.3080008 E003.11.18.5629992 C1
N045.47.25.7229996 E003.10.55.8270012 K1
N045.47.25.5339996 E003.10.23.7309996 C1
N045.47.12.5729988 E003.09.39.7550016 C3
N045.47.26.7029988 E003.09.08.2680012 L
N045.47.21.6129984 E003.09.15.4980 L
N045.47.25.4600016 E003.09.14.4039996 L
N045.47.24.7470 E003.09.06.9760008 Q
N045.47.09.4130016 E003.10.45.5840004 X
N045.47.10.2680016 E003.10.53.9709996 X
N045.47.10.9349988 E003.11.01.2599988 X
N045.47.11.7099996 E003.11.08.6290008 X
N045.47.12.3770004 E003.11.15.4700016 X
N045.47.13.0449984 E003.11.20.7219984 X
N045.47.14.3540016 E003.11.21.9440004 X
N045.47.16.8910008 E003.11.21.8220 X
