N045.44.07.4029992 E005.05.21.7250016 B3

N045.43.47.8099992 E005.05.25.2899988 B4

N045.43.12.4330008 E005.05.26.5920 B6

N045.42.57.2690016 E005.05.27.5049996 B8

N045.42.40.8080016 E005.05.32.8279992 B9

N045.43.43.6770012 E005.05.29.5280016 V4

N045.43.32.5040016 E005.05.30.7939992 V5

N045.43.13.4130 E005.05.32.7400008 V6

N045.43.01.2820008 E005.05.34.3950 V8

N045.44.45.8559996 E005.05.05.9650008 A1

N045.44.35.1930012 E005.05.06.7440012 A2

N045.44.11.3780004 E005.05.08.6910 A3

N045.43.47.4660012 E005.05.11.1609996 A4

N045.43.24.6879984 E005.05.14.8149996 A5

N045.43.09.0450012 E005.05.17.1520008 A6

N045.42.56.7230004 E005.05.18.6119988 A8

N045.42.40.2500016 E005.05.20.2660008 A9

N045.43.05.7889992 E005.05.29.8060008 Y

N045.43.04.1930004 E005.05.13.0629984 S6

N045.44.42.0550008 E005.05.01.3769988 T

N045.44.30.8320008 E005.04.57.5749992 T

N045.44.18.6110016 E005.04.56.2440 T

N045.43.59.6560008 E005.04.58.5249996 T

N045.43.38.5809996 E005.05.01.1870016 T

N045.43.23.0450016 E005.05.02.9230008 T

N045.43.16.0209984 E005.05.03.7989996 T

N045.43.03.2520 E005.05.05.2590012 T

N045.42.57.5049996 E005.05.06.2319984 T

N045.42.48.3459984 E005.05.06.9560016 T

N045.42.40.9579992 E005.05.09.4470 T

N045.43.48.3560004 E005.04.58.2359988 TN1

N045.43.45.2179992 E005.04.58.6850016 TN2

N045.43.42.1119984 E005.04.59.0329992 TN3

N045.43.24.0340008 E005.05.01.2260004 TB

N045.43.21.2559996 E005.05.01.3760016 TC

N045.43.10.5660012 E005.05.00.7779984 TD

N045.43.07.8769992 E005.05.03.3630 K1

N045.43.05.3029992 E005.05.03.7989996 K3

N045.43.00.7359996 E005.05.03.8230008 TL

N045.43.00.6210012 E005.04.55.5679992 TL

N045.42.50.8110012 E005.05.02.9590008 TJ

N045.42.51.4490004 E005.04.53.8330008 TJ

N045.43.15.9960 E005.04.58.3719996 R1

N045.43.06.3930 E005.04.54.4000008 R2

N045.42.56.6880012 E005.04.48.9489996 R3

N045.42.52.1420004 E005.04.43.1860008 R4

N045.42.37.7870004 E005.05.11.3139996 TM

N045.42.28.9389996 E005.05.09.9309984 TM

N045.42.22.5540 E005.05.09.4440012 TM

N045.43.50.1240 E005.05.01.3610004 T3

N045.43.33.0639996 E005.05.03.1520004 T4

N045.43.26.1680016 E005.05.04.1640 T5

N045.42.52.8739992 E005.05.08.1769992 T6

N045.43.11.2649988 E005.05.07.2390012 A6

N045.42.56.1669984 E005.05.08.9940012 A8

N045.43.08.1729984 E005.05.10.7720016 S6-N

N045.42.59.6990016 E005.05.11.8089996 S6-S
