N045.21.46.5699996 E005.18.37.3129992 09

N045.21.46.3650012 E005.20.54.0089988 27

N045.21.42.0350004 E005.18.35.7249996 S1

N045.21.42.5250 E005.18.59.2049988 S2

N045.21.43.3450008 E005.19.56.1150012 S3

N045.21.43.2050004 E005.20.17.0949984 S4

N045.21.42.3249984 E005.20.53.3649984 S5

N045.21.49.6450008 E005.20.11.5649988 N7

N045.21.59.7949992 E005.20.06.4749984 N7

N045.21.57.0150 E005.19.50.1350016 N6

N045.21.51.2349984 E005.19.55.5549996 N6

N045.21.41.0299992 E005.18.47.4300 T1

N045.21.41.0360004 E005.19.26.3750016 T2

N045.21.40.9690008 E005.19.52.4210016 T3

N045.21.40.9290012 E005.20.07.4439996 T4

N045.21.40.8769992 E005.20.38.9400 T5

N045.21.42.3240012 E005.19.07.7679984 TH1

N045.21.42.2370 E005.19.45.9530004 TH2

N045.21.37.2880008 E005.19.47.6490 TL

N045.21.39.4639992 E005.20.18.5349984 K1

N045.21.39.4290 E005.20.26.9450016 K2

N045.21.39.3940008 E005.20.33.9050004 K3
