N045.43.58.3950 E004.56.18.0060 N11
N045.43.58.2440016 E004.56.17.1740004 N12
N045.43.52.7499984 E004.56.05.1600012 N31
N045.43.51.7299996 E004.56.12.4940004 N32
N045.43.48.5960016 E004.56.11.4270 N33
N045.43.48.3880008 E004.56.10.3350012 N34
N045.43.59.1989988 E004.56.17.6290008 C72
N045.43.59.0580012 E004.56.16.8489996 C71
N045.43.57.7279992 E004.56.18.2770008 C62
N045.43.57.5919984 E004.56.17.4649992 C61
N045.43.56.1879984 E004.56.18.9420 C52
N045.43.56.0520012 E004.56.18.1309992 C51
N045.43.54.4810008 E004.56.19.5870012 C45
N045.43.54.2840016 E004.56.18.5889984 C44
N045.43.54.1030008 E004.56.17.5689996 C43
N045.43.53.9370012 E004.56.16.6539984 C42
N045.43.53.7710016 E004.56.15.8010 C41
N045.43.52.6990008 E004.56.20.2319988 C34
N045.43.52.5020016 E004.56.19.1299992 C33
N045.43.52.2609996 E004.56.17.9440008 C32
N045.43.52.0190004 E004.56.16.7790012 C31
N045.43.50.2010004 E004.56.21.1790004 C23
N045.43.49.8990 E004.56.19.5920016 C22
N045.43.49.5450012 E004.56.18.2410008 C21
N045.43.47.6569992 E004.56.22.4279988 C13
N045.43.47.6379984 E004.56.21.8299992 C12
N045.43.47.3930004 E004.56.21.3100008 C11
N045.43.56.9089992 E004.56.18.6309996 D62
N045.43.56.7580008 E004.56.17.7990 D61
N045.43.55.4549988 E004.56.19.2289992 D52
N045.43.55.2849996 E004.56.18.4490016 D51
N045.43.53.7750012 E004.56.19.9050 D45
N045.43.53.5670004 E004.56.18.9170016 D44
N045.43.53.3589996 E004.56.17.8770012 D43
N045.43.53.1699996 E004.56.16.9410012 D42
N045.43.53.0010012 E004.56.16.1610 D41
N045.43.51.6410004 E004.56.20.6859984 D34
N045.43.51.4149996 E004.56.19.6190016 D33
N045.43.51.1309992 E004.56.18.3969996 D32
N045.43.50.9239992 E004.56.17.2269996 D31
N045.43.49.1300004 E004.56.21.5959992 D23
N045.43.48.8089992 E004.56.20.0349996 D22
N045.43.48.5069988 E004.56.18.6569988 D21
N045.43.46.4490012 E004.56.22.9220016 D13
N045.43.46.2039996 E004.56.22.4279988 D12
N045.43.46.2219996 E004.56.21.7520016 D11
N045.43.40.3899996 E004.56.21.2650008 E51
N045.43.41.0880 E004.56.20.9789988 E52
N045.43.41.7489996 E004.56.20.6930004 E53
N045.43.42.3909984 E004.56.20.4330012 E54
N045.43.39.2760012 E004.56.23.5560012 R15
N045.43.39.1069992 E004.56.22.8400008 R13
N045.43.38.9380008 E004.56.22.0750008 R11
N045.43.38.2130004 E004.56.24.0380016 R25
N045.43.38.0679996 E004.56.23.2730016 R23
N045.43.37.8860016 E004.56.22.5240 R21
N045.43.37.1740008 E004.56.24.4709988 R35
N045.43.37.0290 E004.56.23.7220008 R33
N045.43.36.8709996 E004.56.22.9400016 R31
N045.43.36.1340004 E004.56.24.9200016 R45
N045.43.35.9889996 E004.56.24.1550016 R43
N045.43.35.8809996 E004.56.23.4229992 R41
N045.43.35.0109984 E004.56.24.5540004 R53
N045.43.34.8660012 E004.56.23.8049988 R51
N045.43.33.9960 E004.56.25.0040004 S63
N045.43.33.8260008 E004.56.24.2880 S61
N045.43.33.1619988 E004.56.26.0520 S75
N045.43.33.0409992 E004.56.25.4029992 S73
N045.43.32.8720008 E004.56.24.6540012 S71
N045.43.39.7110 E004.56.23.3559996 R26
N045.43.39.5180004 E004.56.22.6399992 R24
N045.43.39.3849984 E004.56.21.8749992 R22
N045.43.38.6600016 E004.56.23.7890004 R36
N045.43.38.5029984 E004.56.23.0899992 R34
N045.43.38.4060 E004.56.22.2910008 R32
N045.43.37.6330008 E004.56.24.2549988 R46
N045.43.37.4880 E004.56.23.5060008 R44
N045.43.37.3789992 E004.56.22.7400 R42
N045.43.36.6179988 E004.56.24.6710004 R56
N045.43.36.4850004 E004.56.23.9550 R54
N045.43.36.3159984 E004.56.23.1730008 R52
N045.43.35.4579996 E004.56.24.3710016 R64
N045.43.35.3250012 E004.56.23.6559984 R62
N045.43.34.4179992 E004.56.24.8039988 R74
N045.43.34.2980004 E004.56.24.0550008 R72
N045.43.33.6209988 E004.56.25.7859996 R75
N045.43.33.4999992 E004.56.25.2200004 R73
N045.43.33.3310008 E004.56.24.4039992 R71
N045.43.35.1310008 E004.56.27.3840 F1
N045.43.34.7570004 E004.56.27.5330004 F3
N045.43.41.0660004 E004.56.26.0540016 PRKG G
N045.43.34.1699988 E004.56.22.5489984 H07
N045.43.37.7100012 E004.56.20.8230 H05
N045.43.39.2959992 E004.56.20.1620004 B03
N045.43.51.1479984 E004.56.15.5760 H02
N045.43.53.9559984 E004.56.14.4380004 H04
N045.43.56.0560008 E004.56.15.4780008 H06
N045.43.57.0000 E004.56.13.3980 H08
N045.43.50.8879992 E004.56.06.7989984 H14
N045.43.48.2679984 E004.56.08.7820008 B14
N045.43.49.0469988 E004.56.17.0059992 Terminal
