N045.43.55.6290012 E004.56.31.7510016 16

N045.43.19.7820012 E004.56.46.8880008 34

N045.44.02.4270 E004.56.23.8989984 A1

N045.43.49.0980 E004.56.29.8510008 A2

N045.43.38.9709984 E004.56.33.8190 A3

N045.43.10.4080008 E004.56.46.2180012 A4

N045.43.38.4520008 E004.56.43.8630 A5

N045.43.54.9829992 E004.56.20.7999996 T1

N045.43.40.6670016 E004.56.28.4629992 T2

N045.43.21.1739988 E004.56.38.4169992 T3

N045.43.43.2279984 E004.56.23.2789992 TA

N045.43.36.8299992 E004.56.27.8300004 TB

N045.43.33.7670004 E004.56.29.2269984 TC

N045.43.59.0310012 E004.56.10.5039996 TN

N045.44.00.1650012 E004.56.16.1919996 TN

N045.44.01.5259992 E004.56.15.7449984 TN2

N045.43.45.8420016 E004.56.22.4900016 TC1

N045.43.48.4510008 E004.56.21.3519984 TC2

N045.43.50.7489996 E004.56.20.3769996 TC3

N045.43.53.0739984 E004.56.19.4020008 TC4

N045.43.54.4929996 E004.56.17.4109992 TC5

N045.43.56.4499992 E004.56.18.2640012 TC6

N045.43.58.0090008 E004.56.17.6139996 TC7

N045.43.39.9050004 E004.56.22.9130016 TR1

N045.43.38.8890012 E004.56.23.3289996 TR2

N045.43.37.8580008 E004.56.23.7869988 TR3

N045.43.36.7830012 E004.56.24.2440008 TR4

N045.43.35.6070 E004.56.23.9529984 TR5

N045.43.34.5900 E004.56.24.3690 TR6

N045.43.33.6029988 E004.56.24.7639992 TS7

N045.43.32.9059992 E004.56.25.7840016 TS8

N045.43.44.1270012 E004.56.40.9859988 HEL

N045.43.27.7910004 E004.56.31.7420016 H
