N043.32.57.4919988 E006.57.09.7710012 ALPHA
N043.32.57.1989984 E006.57.27.9190008 ECHO
N043.32.52.9239984 E006.57.30.1899996 GOLF
N043.32.52.9379988 E006.57.27.0299988 LIMA
N043.32.47.8309992 E006.57.19.9299996 LIMA
N043.32.46.7790 E006.57.21.7299996 MIKE
N043.32.42.0039996 E006.57.26.8580016 SIERRA
N043.32.35.4660 E006.57.17.7069996 SIERRA
N043.32.30.4699992 E006.57.15.2730 SIERRA
N043.32.47.5469988 E006.57.38.4379992 SIERRA
N043.32.47.0320008 E006.57.38.4120 ECHO
N043.33.12.2649984 E006.57.09.2160 NOVEMBRE
N043.33.11.2830012 E006.57.09.4160016 ECHO
N043.32.58.4670012 E006.57.24.3360 H1
N043.32.58.3000008 E006.57.29.9080008 H2
N043.32.58.2659988 E006.57.31.8510 H3
N043.32.48.6089988 E006.57.18.5090004 H4
N043.32.50.5880016 E006.57.21.4220016 H5
N043.32.52.6660008 E006.57.24.2849988 H6
N043.32.54.6780012 E006.57.27.0460008 H7
N043.32.53.1020004 E006.57.13.8570012 H8
N043.32.50.0110008 E006.57.40.5259992 H9
N043.32.48.0260004 E006.57.37.7039988 H10
N043.32.46.3359984 E006.57.35.2500012 H11
N043.32.55.7239992 E006.57.24.7809996 H12
N043.33.01.6530012 E006.57.12.5790012 H14
N043.33.08.4260016 E006.57.11.3010012 H16
N043.32.44.1520008 E006.57.33.7399992 Securite
N043.32.43.5779988 E006.57.33.7370004 Civile
N043.32.53.1719988 E006.57.10.7110008 7.1
N043.32.53.2629996 E006.57.11.7619992 7.2
N043.32.51.6099984 E006.57.10.7110008 6.1
N043.32.51.6810012 E006.57.11.6010 6.2
N043.32.51.7790004 E006.57.12.5449992 6.3
N043.32.49.5219984 E006.57.11.0649996 5.1
N043.32.50.1619992 E006.57.11.4829992 5.A
N043.32.49.5920004 E006.57.11.9660004 5.2
N043.32.50.3239992 E006.57.12.4800012 5.B
N043.32.49.7259996 E006.57.12.9409992 5.3
N043.32.47.4259992 E006.57.11.4300 4.1
N043.32.48.0450012 E006.57.11.8479996 4.A
N043.32.47.5109988 E006.57.12.3300 4.2
N043.32.48.0869988 E006.57.12.8549988 4.B
N043.32.47.6160 E006.57.13.3380 4.3
N043.32.45.3450012 E006.57.11.8159992 3.1
N043.32.45.9219984 E006.57.12.2230008 3.A
N043.32.45.4430004 E006.57.12.7159992 3.2
N043.32.46.0129992 E006.57.13.2310008 3.B
N043.32.45.5280 E006.57.13.6699992 3.3
N043.32.43.4370012 E006.57.12.2460012 2.1
N043.32.43.9659996 E006.57.12.5889984 2.A
N043.32.43.5050016 E006.57.13.1810004 2.2
N043.32.44.0450016 E006.57.13.5579996 2.B
N043.32.43.5950016 E006.57.14.0979996 2.3
N043.32.41.6600016 E006.57.12.5200008 1.1
N043.32.42.1550016 E006.57.12.9060 1.A
N043.32.41.7549984 E006.57.13.4640 1.2
N043.32.42.2620008 E006.57.13.8840012 1.B
N043.32.41.8340004 E006.57.14.4159984 1.3
