N043.33.11.5089984 E006.56.59.7170004 17

N043.32.36.1650012 E006.57.06.0189984 35

N043.32.57.3320004 E006.57.06.0189984 17L

N043.32.40.9850016 E006.57.08.8949988 35R

N043.32.38.6070 E006.57.15.3720 04

N043.32.52.8270 E006.57.35.1050004 22

N043.33.15.7629996 E006.57.03.8419992 A1

N043.33.14.1680016 E006.57.04.2090012 A2

N043.33.00.2009988 E006.57.06.5850012 A3

N043.32.39.1120008 E006.57.10.3730004 A5

N043.32.37.6940004 E006.57.09.1249992 A6

N043.32.24.9280008 E006.57.12.4700004 A7

N043.32.54.6540 E006.57.34.9120008 B1

N043.32.48.6909996 E006.57.26.7170004 B2

N043.32.38.0839992 E006.57.11.7519984 B5

N043.32.36.4340004 E006.57.10.1310012 B6

N043.32.52.5149988 E006.57.37.9890 C1

N043.32.47.3899992 E006.57.29.3940 C2

N043.32.38.4770004 E006.57.17.6519988 C3

N043.32.34.9140012 E006.57.13.2829992 C5

N043.32.56.5640016 E006.57.34.5499992 EB

N043.32.46.6580004 E006.57.31.7400012 F

N043.32.50.4440016 E006.57.36.3849984 F

N043.33.18.7440012 E006.57.02.3410008 P1

N043.33.16.3919988 E006.57.02.7600012 P2

N043.32.41.3329992 E006.57.14.2530012 R

N043.32.29.0780016 E006.57.13.3779996 V

N043.33.07.7379984 E006.57.07.6640004 WB

N043.33.02.1589992 E006.57.08.7630012 WE

N043.32.43.1189988 E006.57.11.1420 W

N043.32.51.4500 E006.57.09.7040016 W

N043.32.58.2920016 E006.57.08.1799992 W

N043.33.11.2539996 E006.57.05.8700016 W

N043.32.55.4499996 E006.57.33.7889988 YA

N043.32.49.5480012 E006.57.25.7079996 YB

N043.32.44.3119992 E006.57.18.3459996 YC

N043.32.52.3169988 E006.57.30.5820 Y

N043.32.46.3080012 E006.57.22.2400008 Y

N043.32.42.4669992 E006.57.16.9400016 Y

N043.32.40.0200 E006.57.13.5699984 Y

N043.32.59.0589996 E006.57.03.6069984 X

N043.32.59.3340 E006.57.05.3449992 X

N043.32.59.3890008 E006.57.06.7690008 X
