N043.32.19.4589996 E004.54.53.1690012 G

N043.32.14.4880008 E004.54.56.6049996 F

N043.32.08.3150016 E004.55.11.6950008 T

N043.31.52.2720012 E004.55.11.5920012 E

N043.31.19.8450012 E004.56.51.2499984 C4

N043.31.56.7459984 E004.55.22.2030012 E1

N043.31.37.5440016 E004.55.35.1750 T

N043.31.24.4059996 E004.55.30.5820012 D

N043.31.18.1920 E004.55.51.9290004 C2

N043.31.07.2180012 E004.55.42.6849996 C

N043.31.05.1240 E004.56.05.2000008 C1

N043.31.04.4339988 E004.56.21.4490004 S

N043.31.03.7189992 E004.56.34.5459984 W

N043.30.55.2920004 E004.56.02.5239984 T

N043.30.43.9899984 E004.55.58.5320016 B

N043.30.52.4160 E004.56.16.5500016 Y

N043.30.48.6360 E004.56.26.8130004 B1

N043.30.47.0829996 E004.56.50.3400012 C3

N043.30.30.9610008 E004.55.42.8350008 L

N043.30.22.6760004 E004.55.50.8289988 M

N043.30.20.7990 E004.55.59.4149988 N

N043.30.32.1270012 E004.56.07.0130004 A

N043.30.37.7579988 E004.56.20.4349992 A2

N043.30.29.6020008 E004.56.27.7370016 A1

N043.30.28.3719996 E004.56.37.4089992 H

N043.31.24.6529992 E004.55.38.5039992 H

N043.32.12.2650008 E004.54.30.4400016 J

N043.32.14.7699996 E004.54.45.8730 X

N043.32.14.2699992 E004.54.44.5089996 X

N043.32.13.1520012 E004.54.41.5249992 X

N043.30.58.2350004 E004.55.30.5050008 K

N043.30.56.9679984 E004.55.41.1930012 X

N043.30.57.1070016 E004.55.37.5110004 X

N043.30.57.2460012 E004.55.32.2529988 X
