N043.26.48.1350012 E005.13.03.7080012 82

N043.26.46.9870008 E005.13.02.0210016 81

N043.26.45.8289996 E005.13.00.5379996 80

N043.26.45.1960008 E005.13.07.1529996 83E

N043.26.44.8310004 E005.13.06.7209996 83D

N043.26.44.4140016 E005.13.06.2900004 83C

N043.26.43.8889992 E005.13.05.6619984 83B

N043.26.43.4979996 E005.13.05.2539996 83A

N043.26.42.6739992 E005.12.59.0490 76

N043.26.42.3200004 E005.12.57.2929992 77

N043.26.41.8760016 E005.12.55.7529984 78

N043.26.40.0099992 E005.12.57.8909988 75

N043.26.39.4050012 E005.12.57.3220008 74

N043.26.39.1089984 E005.12.56.8519992 73B

N043.26.38.9289984 E005.12.56.5769988 73

N043.26.38.6009988 E005.12.56.1359988 72B

N043.26.38.3759988 E005.12.55.5180012 72

N043.26.38.1699996 E005.12.54.9100008 71

N043.26.36.8059992 E005.12.54.7920 70

N043.26.36.5550 E005.12.54.2130012 70

N043.26.36.3109992 E005.12.53.6439996 70

N043.26.36.0539988 E005.12.53.0169984 70

N043.26.39.9390 E005.12.53.2720008 69N

N043.26.39.6430008 E005.12.52.1340012 68N

N043.26.39.5149992 E005.12.50.9770008 67N

N043.26.38.9550012 E005.12.49.7109996 66E

N043.26.38.3309988 E005.12.48.8580012 66W

N043.26.37.2279984 E005.12.45.3660012 63A

N043.26.36.5650008 E005.12.45.8669988 63B

N043.26.36.5840016 E005.12.47.0139984 64

N043.26.35.9599992 E005.12.46.2980016 63C

N043.26.35.4069996 E005.12.46.5140016 63D

N043.26.36.3210 E005.12.48.0639996 64B

N043.26.35.9990016 E005.12.48.2789988 65

N043.26.35.1049992 E005.12.46.8380016 63E

N043.26.34.4739984 E005.12.44.5430016 61N

N043.26.35.8119996 E005.12.42.6589992 62N

N043.26.34.2750012 E005.12.41.7080016 60N

N043.26.30.1830 E005.12.45.6310008 50A

N043.26.30.6399984 E005.12.46.5429996 51

N043.26.31.1870004 E005.12.47.7110016 50C

N043.26.32.1259992 E005.12.50.0060016 53

N043.26.33.2840004 E005.12.52.6340016 55

N043.26.34.4739984 E005.12.55.0370016 57

N043.26.33.9020016 E005.12.55.8510012 56

N043.26.32.4800016 E005.12.53.8210008 54

N043.26.31.2060012 E005.12.51.9770016 52

N043.26.30.0999984 E005.12.49.8390012 51C

N043.26.29.4429984 E005.12.48.8970 50
