N043.26.57.6920004 E005.11.58.7150016 C1
N043.26.47.4339984 E005.12.09.2379996 D1
N043.26.42.3920004 E005.12.20.7360 C2
N043.26.33.8219988 E005.12.27.5060016 D2
N043.26.33.7070004 E005.12.35.3000016 C3
N043.26.28.3089984 E005.12.35.6180004 D3
N043.26.23.2860012 E005.12.50.1580008 C4
N043.26.26.3919984 E005.12.39.7100016 D4
N043.26.17.7849996 E005.13.09.1359984 C5
N043.26.08.1359988 E005.13.18.1099992 C6
N043.26.00.0290004 E005.13.16.3940016 D6
N043.25.58.1970 E005.13.26.0540004 C7
N043.25.51.1140 E005.13.28.9629984 D7
N043.25.49.6089984 E005.13.38.1169992 C8
N043.25.42.3419988 E005.13.41.0199996 D8
N043.25.40.1520 E005.13.44.2959996 D9
N043.25.58.7219988 E005.13.36.9279984 B7
N043.26.30.8979996 E005.12.42.1949988 G1
N043.26.26.4400008 E005.12.48.4059996 G2
N043.26.24.8100 E005.13.00.8289984 G3
N043.26.20.4969984 E005.13.07.4060004 G4
N043.26.16.2210012 E005.13.13.4349996 G5
N043.26.12.8270004 E005.13.16.4669988 G6
N043.25.51.7689984 E005.13.41.2430016 X
N043.25.58.8900 E005.13.34.0280004 X
N043.26.09.8279988 E005.13.19.1520012 X
N043.26.07.9310004 E005.13.20.7789996 X
N043.26.05.2040004 E005.13.23.0080008 X
N043.25.58.7219988 E005.13.29.1540 X
N043.25.54.2740008 E005.13.35.2689996 X
N043.25.45.6859992 E005.13.47.8599996 X
N043.26.08.0620008 E005.12.11.4990012 X
N043.26.35.5670016 E005.12.51.0770016 L2
N043.26.37.9100004 E005.13.01.0440012 L3
N043.26.42.1100016 E005.13.01.5719988 L4
N043.26.30.3709992 E005.12.20.1989988 E2
N043.26.25.3860 E005.12.27.3600 E3
N043.25.46.3450008 E005.13.19.8879996 E7
N043.25.35.2480008 E005.13.34.4529984 E9
N043.25.54.9490008 E005.12.45.8480016 F7
N043.25.44.6909988 E005.13.07.0399992 F7
N043.26.20.4010008 E005.12.14.7909996 F3
N043.26.16.0869984 E005.12.13.1839992 F3
N043.26.08.7050004 E005.12.23.5599984 F3
N043.26.00.6860004 E005.12.36.1170 H
N043.26.01.6479996 E005.12.29.1899988 H1
N043.26.01.1510016 E005.12.25.2830016 H2
N043.26.00.6900 E005.12.21.9620016 H3
N043.25.58.2440016 E005.12.21.8149992 H4
