N042.44.04.6100004 E002.52.18.0199992 ACB

N042.43.49.1480004 E002.52.36.0419988 Sabena

N042.43.59.1139992 E002.52.25.1519988 SAMU

N042.44.36.2479992 E002.52.01.2159984 PRKG NORD

N042.44.25.7439984 E002.52.13.0580004 P1-A

N042.44.25.9199988 E002.52.12.1779984 P1-B

N042.44.25.3320 E002.52.09.1580016 P2-A

N042.44.25.1999988 E002.52.06.9980016 P3-A

N042.44.25.5230016 E002.52.07.7779992 P3-B

N042.44.24.7009992 E002.52.03.5580 P4-A

N042.44.25.0239984 E002.52.04.5180012 P4-B

N042.44.20.9850 E002.52.14.6979984 P5-A

N042.44.21.6459996 E002.52.13.1180016 P5-B

N042.44.20.6760012 E002.52.12.1779984 P6-A

N042.44.21.4550016 E002.52.11.0380008 P6-B

N042.44.20.4119988 E002.52.10.7180004 P7-A

N042.44.20.0889996 E002.52.08.1980004 P8-A

N042.44.21.2780004 E002.52.08.3380008 P8-B
