N042.45.13.8750012 E002.51.42.8330016 15

N042.44.11.9870016 E002.52.34.6260 33

N042.44.20.3060004 E002.52.00.3000 13

N042.43.59.7849996 E002.52.36.6330 31

N042.45.13.3359984 E002.51.38.7569988 A

N042.45.08.6609988 E002.51.42.8680008 B

N042.45.05.0659992 E002.51.45.1980 C

N042.44.57.4699992 E002.51.50.1999984 D

N042.44.24.1320012 E002.52.18.8870016 G

N042.44.11.1750 E002.52.29.2749996 H

N042.44.54.1399992 E002.51.50.0379984 K

N042.44.42.7539984 E002.51.59.5990008 K

N042.44.28.6590012 E002.52.12.3160008 K

N042.44.21.0490008 E002.52.18.6549996 L

N042.44.11.3290008 E002.52.26.8690008 L

N042.44.10.6220004 E002.52.12.6469992 Q

N042.44.08.8670004 E002.52.25.6710 R

N042.44.00.8409984 E002.52.29.6619996 T

N042.43.56.3540016 E002.52.37.5999996 U

N042.44.08.5790004 E002.52.14.2690008 V

N042.44.04.3509984 E002.52.21.6810012 V

N042.44.01.2729984 E002.52.27.1629984 V

N042.44.20.7899988 E002.52.01.8490008 X

N042.44.22.0490016 E002.52.03.1509984 X

N042.44.27.1719996 E002.52.15.3480 X

N042.44.27.9809988 E002.52.17.0609988 X

N042.44.28.7459988 E002.52.18.5679984 X
