N043.34.53.2350012 E003.57.19.1170008 A1
N043.34.52.3210008 E003.57.18.2199996 A2
N043.34.51.5359992 E003.57.17.4129984 A3
N043.34.51.4369992 E003.57.21.0240 A4
N043.34.50.8659996 E003.57.20.2610016 A5
N043.34.50.3130 E003.57.19.5959988 A6
N043.34.51.4369992 E003.57.23.3669988 B1
N043.34.51.2330016 E003.57.23.8460004 B2
N043.34.50.6100 E003.57.25.2209988 B3
N043.34.50.4009984 E003.57.25.7180004 B4
N043.34.49.7079984 E003.57.26.8449984 C1
N043.34.48.8520012 E003.57.28.5220008 C2
N043.34.48.0550008 E003.57.30.1190004 C3
N043.34.46.2950004 E003.57.32.4680004 D1
N043.34.46.3130004 E003.57.33.1049988 D2
N043.34.46.9310016 E003.57.34.5470004 D3
N043.34.46.7860008 E003.57.33.5070 D4
N043.34.46.3490004 E003.57.35.4759984 D5
N043.34.46.4679984 E003.57.34.0059996 D6
N043.34.45.8040 E003.57.35.5870008 D7
N043.34.45.3309996 E003.57.35.9610012 D8
N043.34.45.0220008 E003.57.38.2629996 D9
N043.34.44.2850016 E003.57.38.0959992 D10
N043.34.40.9569996 E003.57.42.4080 E1
N043.34.39.7490016 E003.57.44.6090004 E2
N043.34.40.4259996 E003.57.45.3070008 E3
N043.34.41.0580012 E003.57.45.9730008 E4
N043.34.38.9629992 E003.57.46.4720004 E5
N043.34.39.3629988 E003.57.46.9270008 E6
N043.34.39.8439984 E003.57.47.4480 E7
N043.34.40.4040 E003.57.48.0359988 E8
N043.34.38.1270 E003.57.48.0579984 F1
N043.34.38.5119984 E003.57.48.4239996 F2
N043.34.38.8980012 E003.57.48.8009988 F3
N043.34.39.2980008 E003.57.49.1670 F4
N043.34.39.6829992 E003.57.49.5330012 F5
N043.34.37.6830012 E003.57.49.3779996 F6
N043.34.38.1270 E003.57.49.8549996 F7
N043.34.38.5780008 E003.57.50.3100 F8
N043.35.20.4119988 E003.57.46.7030016 FR1
N043.35.19.7540016 E003.57.48.6640008 FR2
N043.35.18.0430008 E003.57.49.7819988 FR3
N043.35.18.6770004 E003.57.50.3229996 FR4
N043.35.19.9579992 E003.57.47.4390 FR5
N043.34.55.7130 E003.57.15.0739992 TEC
N043.34.39.1479996 E003.57.02.3810004 ESMA
N043.34.41.7500004 E003.57.16.1319996 ENAC
N043.34.34.0749984 E003.57.17.0570016 P3
N043.34.33.0769992 E003.57.20.4289992 P2
N043.34.32.7740016 E003.57.25.2550008 P1
N043.34.31.3860 E003.57.35.5020012 GENDARMERIE
N043.34.29.2180008 E003.57.34.4450016 SECURITE
N043.34.30.4749984 E003.57.47.2039992 G
N043.35.21.1679988 E003.57.49.3189992 FRET
N043.34.44.0479992 E003.57.33.0559992 TERMINAL
N043.34.35.0289984 E003.57.49.6500012 STATION ESSENCE
