N043.35.06.6050016 E003.57.39.8009988 J
N043.35.01.2620004 E003.57.23.2999992 T6
N043.34.59.1579984 E003.57.33.5289996 Y
N043.34.57.8030016 E003.57.35.6979996 W1
N043.34.55.1910 E003.57.28.4299992 W2
N043.34.52.9359996 E003.57.40.1529996 T5
N043.34.48.1119996 E003.57.44.0370 M
N043.34.47.8409988 E003.57.50.0699988 T4
N043.34.41.9869992 E003.58.01.6389984 T3
N043.34.39.1019988 E003.58.11.5430016 V
N043.34.28.7609988 E003.58.28.0830 T2
N043.34.18.9109992 E003.58.52.1389992 T1
N043.34.42.7460016 E003.57.52.5489984 L3
N043.34.31.8510012 E003.57.50.7309984 GT
N043.34.28.3270008 E003.57.50.0699988 GS
N043.34.23.4490008 E003.57.49.1609988 L2
N043.34.16.7279988 E003.57.47.7560016 SL
N043.34.14.6240004 E003.57.47.4469992 L1
N043.34.20.9380008 E003.57.38.6669988 S1
N043.34.23.7830016 E003.57.32.9019984 SN
N043.34.25.8989988 E003.57.32.7970008 N2
N043.34.25.2750 E003.57.29.8879992 NS
N043.34.27.1480008 E003.57.26.3440008 S2
N043.34.29.8539984 E003.57.23.2769988 K2
N043.34.30.3049992 E003.57.19.8920016 S3
N043.34.31.7960004 E003.57.19.0990008 K4
N043.34.32.4559992 E003.57.17.8819992 K5
N043.34.32.8029996 E003.57.17.0359992 K6
N043.34.30.2700 E003.57.16.8770016 Q
N043.34.32.6290008 E003.57.15.6080016 S4
N043.34.34.6760004 E003.57.14.2329996 R2
N043.34.35.5080 E003.57.09.7369992 S5
N043.34.33.0039984 E003.57.12.7659996 R1
