N043.05.53.8440 E006.09.09.5580 Aire transbordement Cargo
N043.05.41.7660 E006.09.26.4319992 P-Civ
N043.05.36.4760016 E006.09.33.9800004 Terminal
N043.05.37.6410012 E006.08.48.0270012 TWR
N043.05.18.3230016 E006.09.05.1940008 P-Douanes-Gendarmerie
N043.05.26.9139984 E006.08.45.2150016 P-Mil
N043.05.36.6209988 E006.08.54.5390016 VIP
N043.05.22.9819992 E006.08.56.0919984 HS
N043.05.39.5819988 E006.08.42.0330012 HN
N043.06.04.1659992 E006.08.23.4499992 X
N043.06.00.0410004 E006.08.24.7449984 X
N043.05.53.8519992 E006.08.29.8320 X
N043.05.47.2999992 E006.08.35.1970008 X
N043.05.43.4169996 E006.08.38.4619992 X
N043.05.41.1640008 E006.08.40.2979992 X
N043.05.35.7420012 E006.08.31.2590004 Escale Militaire
N043.05.33.7089984 E006.08.30.4519992 H1
N043.05.31.5350016 E006.08.33.3530016 H2
N043.05.28.9330008 E006.08.37.0820004 H3
N043.05.25.9820016 E006.08.39.5090016 H4
N043.05.23.4189996 E006.08.41.6410008 H5
N043.05.21.5940012 E006.08.43.0609992 H6
N043.05.19.0700016 E006.08.46.0809996 H7
N043.05.35.1579984 E006.09.23.7039984 A1
N043.05.35.8730016 E006.09.23.9159988 A2
N043.05.37.1460012 E006.09.24.3399996 A3
N043.05.39.6510 E006.09.25.0070004 A4
