N043.05.38.5310004 E006.08.29.5910016 A2
N043.05.41.4430008 E006.08.35.5110 B2
N043.06.04.8870 E006.09.15.5440008 C3
N043.06.15.3709992 E006.09.34.3389996 D3
N043.06.08.2839996 E006.09.29.6769996 T3
N043.05.52.3640004 E006.09.01.7799984 T3
N043.05.22.5499992 E006.09.08.5039992 T1
N043.06.18.6869988 E006.09.43.3810008 E3
N043.05.32.9809992 E006.09.16.4540016 T10
N043.05.26.5840008 E006.09.26.3819988 T8
N043.05.43.4109984 E006.08.46.3850016 T2
N043.05.39.0680016 E006.08.38.1069996 T2
N043.05.31.4160 E006.08.50.3480004 T4
N043.05.39.7280004 E006.08.54.6029988 T4
N043.05.35.4199992 E006.08.44.1510 T6
