N047.33.46.4739984 W000.18.45.5379984 TWR
N047.33.43.8570 W000.18.47.5890012 A
N047.33.44.2299996 W000.18.47.5009992 A1
N047.33.44.6280012 W000.18.47.6110008 A2
N047.33.45.0060012 W000.18.47.7640008 A3
N047.33.43.7659992 W000.18.48.6349992 B
N047.33.44.1349992 W000.18.48.4310016 B1
N047.33.44.5129992 W000.18.48.5910 B2
N047.33.44.8999992 W000.18.48.7440 B3
N047.33.43.7130 W000.18.49.5839988 C
N047.33.44.0200008 W000.18.49.4600004 C1
N047.33.44.3980008 W000.18.49.5399996 C2
N047.33.44.7900012 W000.18.49.6640016 C3
N047.33.43.6340016 W000.18.50.5040004 D
N047.33.43.9120008 W000.18.50.3949996 D1
N047.33.44.2940004 W000.18.50.4900 D2
N047.33.44.6919984 W000.18.50.5770012 D3
N047.33.43.5719988 W000.18.51.4530 E
N047.33.45.0219996 W000.18.41.5559988 J
N047.33.44.8350012 W000.18.40.9290012 K
N047.33.44.9820 W000.18.39.6219996 L
N047.33.45.1119996 W000.18.38.2929984 M
N047.33.45.2790 W000.18.36.9870012 N
N047.33.45.4179996 W000.18.35.6439996 P
N047.33.46.2570012 W000.18.49.9709988 Terminal
N047.33.47.5899984 W000.18.38.5850016 ACB
