N048.02.09.7559988 W000.44.27.4300008 ACB
N048.02.08.0160 W000.44.23.9150004 P-ACB
N048.02.01.9690008 W000.44.19.0730004 Hangars
N048.01.56.7230016 W000.44.24.3499992 Terminal
N048.01.55.1190 W000.44.23.9160012 TWR
N048.01.54.0320016 W000.44.23.1010008 Parking
N048.01.52.2320016 W000.44.19.0799988 Hangars
N048.01.35.5230012 W000.44.14.6889996 X
N048.01.33.2879988 W000.44.12.1329996 X
N048.01.58.8079992 W000.44.24.9690012 2C
N048.01.58.4230008 W000.44.24.4340016 2D
N048.01.58.0829988 W000.44.24.1149984 2E
N048.01.57.8780004 W000.44.26.5700004 1A
N048.01.57.2949984 W000.44.25.8010008 1B
N048.01.52.9460004 W000.44.25.0280016 3A
N048.01.53.4479988 W000.44.24.2009988 3B
N048.01.51.2349996 W000.44.23.5150008 3C
N048.01.51.5910 W000.44.22.7760 3D
N048.01.51.8999988 W000.44.22.2780012 3E
